"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","5.700","5.800","5.800","5.570","278.81K","-1.72%"
"10/01/2023","5.800","6.160","6.200","5.600","21.91K","-6.45%"
"09/01/2023","6.200","6.350","6.350","6.150","1.47M","-2.36%"
"08/01/2023","6.350","7.080","7.300","6.200","5.79M","-10.56%"
"07/01/2023","7.100","6.260","7.170","6.200","3.46M","13.42%"
"06/01/2023","6.260","6.300","6.610","6.150","2.70M","0.97%"
"05/01/2023","6.200","6.410","6.410","5.850","5.84M","-3.28%"
"04/01/2023","6.410","6.133","6.500","6.133","534.23K","-1.38%"
"03/01/2023","6.500","6.400","6.650","6.250","4.68M","1.56%"
"02/01/2023","6.400","6.200","6.800","6.200","737.09K","3.23%"
"01/01/2023","6.200","6.850","6.850","6.200","843.48K","-8.15%"
"12/01/2022","6.750","6.690","7.100","6.300","4.02M","0.75%"
"11/01/2022","6.700","6.300","7.200","6.300","65.98M","6.35%"
"10/01/2022","6.300","5.700","6.300","5.660","3.78M","10.53%"
"09/01/2022","5.700","5.410","6.020","5.350","7.54M","5.56%"
"08/01/2022","5.400","5.200","6.110","5.200","21.54M","1.89%"
"07/01/2022","5.300","5.150","5.500","4.950","14.16M","2.91%"
"06/01/2022","5.150","5.100","5.500","5.050","7.18M","1.98%"
"05/01/2022","5.050","5.050","5.200","4.800","9.41M","-1.37%"
"04/01/2022","5.120","5.374","5.546","4.773","21.97M","-3.35%"
"03/01/2022","5.298","5.937","5.966","5.298","8.79M","-9.31%"
"02/01/2022","5.842","6.548","6.596","5.823","4.46M","-10.92%"
"01/01/2022","6.558","5.775","6.682","5.775","6.31M","13.55%"
"12/01/2021","5.775","5.746","5.918","5.221","12.30M","0.50%"
"11/01/2021","5.746","6.109","6.176","5.727","5.97M","-6.67%"
"10/01/2021","6.157","5.011","6.166","4.868","9.51M","24.04%"
"09/01/2021","4.964","4.658","5.059","4.486","4.84M","8.56%"
"08/01/2021","4.572","4.729","4.863","3.808","12.67M","-1.57%"
"07/01/2021","4.645","5.273","5.273","4.394","9.56M","-11.90%"
"06/01/2021","5.273","5.524","5.775","4.771","7.08M","-4.55%"
"05/01/2021","5.524","5.775","6.445","5.022","28.23M","-4.35%"
"04/01/2021","5.775","6.209","6.265","5.357","5.92M","-6.38%"
"03/01/2021","6.169","6.564","6.693","6.128","17.63M","-5.56%"
"02/01/2021","6.531","6.604","6.749","6.531","6.95M","-1.22%"
"01/01/2021","6.612","5.765","6.693","5.765","13.77M","14.69%"
"12/01/2020","5.765","5.717","6.048","5.717","7.68M","0.70%"
"11/01/2020","5.725","5.685","6.007","5.443","5.81M","1.43%"
"10/01/2020","5.644","6.209","6.370","5.644","8.96M","-8.74%"
"09/01/2020","6.185","6.419","6.419","6.048","3.16M","-3.64%"
"08/01/2020","6.419","6.195","6.419","5.953","5.11M","5.46%"
"07/01/2020","6.086","6.266","6.359","6.008","4.87M","-2.86%"
"06/01/2020","6.266","6.086","6.788","6.008","17.35M","2.95%"
"05/01/2020","6.086","5.392","6.273","5.275","7.94M","13.70%"
"04/01/2020","5.353","5.735","5.930","5.306","7.90M","-6.67%"
"03/01/2020","5.735","6.671","6.859","5.454","16.02M","-13.53%"
"02/01/2020","6.632","7.100","7.225","6.632","3.33M","-6.59%"
"01/01/2020","7.100","7.178","7.296","6.960","9.00M","-1.09%"
"12/01/2019","7.178","6.866","7.178","6.632","7.77M","4.55%"
"11/01/2019","6.866","7.155","7.178","6.827","3.66M","-4.03%"
"10/01/2019","7.155","7.178","7.374","7.022","3.80M","-1.40%"
"09/01/2019","7.257","7.413","7.452","7.217","8.49M","-2.11%"
"08/01/2019","7.413","8.193","8.193","7.296","4.32M","-10.38%"
"07/01/2019","8.271","8.060","8.505","7.920","5.39M","2.61%"
"06/01/2019","8.060","8.310","8.310","8.021","2.78M","-2.91%"
"05/01/2019","8.302","8.349","8.466","8.115","4.11M","-0.56%"
"04/01/2019","8.349","8.281","8.579","8.271","4.16M","0.82%"
"03/01/2019","8.281","8.587","8.625","8.281","5.70M","-3.56%"
"02/01/2019","8.587","8.167","8.815","8.167","6.69M","6.53%"
"01/01/2019","8.060","7.556","8.129","7.556","3.67M","6.13%"
"12/01/2018","7.594","7.823","8.014","7.594","9.43M","-3.40%"
"11/01/2018","7.861","7.480","7.861","7.419","12.68M","5.64%"
"10/01/2018","7.442","8.052","8.090","7.442","6.32M","-7.58%"
