"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","22.200","22.000","22.500","22.000","1.97K","1.37%"
"10/01/2023","21.900","23.000","23.000","21.600","0.80K","-1.79%"
"09/01/2023","22.300","22.100","23.000","21.500","91.99K","0.90%"
"08/01/2023","22.100","23.400","23.400","22.000","55.35K","-7.53%"
"07/01/2023","23.900","25.000","25.000","23.280","184.10K","-3.59%"
"06/01/2023","24.790","25.500","26.700","24.790","32.09K","-2.78%"
"05/01/2023","25.500","25.400","26.000","25.000","170.62K","0.00%"
"04/01/2023","25.500","24.643","26.000","24.580","448.91K","-2.67%"
"03/01/2023","26.200","24.100","26.250","24.000","391.70K","9.17%"
"02/01/2023","24.000","25.600","25.800","23.850","81.43K","-6.90%"
"01/01/2023","25.780","24.560","26.010","24.560","295.44K","4.88%"
"12/01/2022","24.580","24.090","24.950","23.400","272.51K","1.99%"
"11/01/2022","24.100","23.800","24.650","23.000","82.09K","0.42%"
"10/01/2022","24.000","21.100","24.250","21.030","697.20K","14.29%"
"09/01/2022","21.000","21.550","22.500","21.000","142.34K","-2.55%"
"08/01/2022","21.550","22.300","22.300","20.200","215.93K","2.62%"
"07/01/2022","21.000","20.000","22.490","19.800","133.02K","5.00%"
"06/01/2022","20.000","22.000","22.500","20.000","259.79K","-7.83%"
"05/01/2022","21.700","23.800","23.990","21.000","106.41K","-4.62%"
"04/01/2022","22.750","22.750","23.120","21.802","92.29K","0.00%"
"03/01/2022","22.750","22.560","22.940","21.707","99.26K","1.91%"
"02/01/2022","22.323","20.380","23.546","20.380","169.97K","8.53%"
"01/01/2022","20.570","19.527","20.759","19.527","100.90K","5.85%"
"12/01/2021","19.432","16.725","20.854","16.296","199.91K","16.19%"
"11/01/2021","16.725","16.296","17.153","15.875","83.39K","3.17%"
"10/01/2021","16.210","14.709","17.325","14.623","95.02K","8.00%"
"09/01/2021","15.009","14.152","15.438","14.152","35.18K","7.36%"
"08/01/2021","13.980","15.438","15.438","13.980","49.38K","-8.43%"
"07/01/2021","15.266","15.867","16.304","15.266","54.07K","-1.11%"
"06/01/2021","15.438","14.678","15.867","13.808","357.69K","6.36%"
"05/01/2021","14.515","15.902","16.717","13.879","423.24K","-10.10%"
"04/01/2021","16.146","18.552","19.163","14.678","294.34K","-12.39%"
"03/01/2021","18.430","19.563","19.571","17.940","191.94K","-2.59%"
"02/01/2021","18.919","18.348","19.734","18.348","132.61K","5.45%"
"01/01/2021","17.940","16.440","18.797","16.432","208.30K","9.18%"
"12/01/2020","16.432","15.942","17.288","15.902","178.32K","3.33%"
"11/01/2020","15.902","15.494","16.309","15.086","80.71K","2.63%"
"10/01/2020","15.494","16.309","16.513","13.863","835.68K","-5.00%"
"09/01/2020","16.309","16.309","17.288","16.146","165.68K","0.00%"
"08/01/2020","16.309","17.654","17.940","16.309","55.78K","-7.62%"
"07/01/2020","17.654","18.448","18.456","17.493","101.82K","-4.14%"
"06/01/2020","18.416","18.657","18.866","18.296","235.77K","-1.08%"
"05/01/2020","18.617","18.456","19.660","18.456","108.00K","0.87%"
"04/01/2020","18.456","18.456","19.259","18.448","172.57K","-3.16%"
"03/01/2020","19.058","21.666","21.827","18.857","53.39K","-12.04%"
"02/01/2020","21.666","25.670","25.670","21.666","71.70K","-15.60%"
"01/01/2020","25.670","22.870","25.983","22.870","183.68K","12.25%"
"12/01/2019","22.870","21.425","22.870","21.425","62.65K","6.75%"
"11/01/2019","21.423","18.964","21.503","18.964","759.77K","13.45%"
"10/01/2019","18.884","18.805","19.043","18.805","281.99K","0.42%"
"09/01/2019","18.805","18.354","19.281","18.276","80.77K","2.46%"
"08/01/2019","18.354","18.190","18.588","17.886","41.47K","0.86%"
"07/01/2019","18.198","18.588","18.667","17.573","46.20K","5.43%"
"06/01/2019","17.261","17.534","17.534","16.636","831.33K","-1.56%"
"05/01/2019","17.534","17.183","18.198","17.183","40.06K","2.05%"
"04/01/2019","17.183","17.075","17.259","15.933","28.71K","0.68%"
"03/01/2019","17.067","15.571","17.075","15.571","260.65K","9.61%"
"02/01/2019","15.571","15.571","15.571","15.341","476.83K","0.00%"
"01/01/2019","15.571","15.763","15.802","15.533","208.53K","-1.22%"
"12/01/2018","15.763","16.649","16.875","15.763","198.71K","-5.32%"
"11/01/2018","16.649","15.513","16.649","15.513","60.13K","7.32%"
"10/01/2018","15.513","16.776","16.821","15.135","324.07K","-7.57%"
"09/01/2018","16.783","16.425","16.783","16.037","213.06K","2.18%"
"08/01/2018","16.425","16.037","16.425","15.888","692.41K","4.86%"
"07/01/2018","15.664","15.495","16.410","15.495","80.05K","-0.79%"
"06/01/2018","15.789","15.422","16.891","15.327","334.19K","2.38%"
"05/01/2018","15.422","14.849","15.422","14.761","1.75M","3.96%"
"04/01/2018","14.834","14.453","14.834","14.453","43.64K","2.54%"
"03/01/2018","14.467","14.688","14.981","14.467","52.15K","-3.90%"
"02/01/2018","15.055","13.593","15.055","13.593","45.28K","10.81%"
"01/01/2018","13.586","13.117","13.659","13.117","199.07K","3.56%"
"12/01/2017","13.119","13.183","13.183","12.841","257.36K","-0.49%"
"11/01/2017","13.183","12.019","13.183","12.019","162.37K","11.91%"
"10/01/2017","11.780","11.949","12.090","11.598","109.42K","-1.41%"
"09/01/2017","11.949","11.738","11.984","11.598","85.62K","3.03%"
"08/01/2017","11.598","11.246","11.949","11.246","51.41K","3.00%"
"07/01/2017","11.260","11.494","11.494","11.239","240.46K","-1.44%"
"06/01/2017","11.425","11.778","12.187","11.425","771.05K","-3.00%"
"05/01/2017","11.778","10.739","13.024","10.739","293.26K","9.74%"
"04/01/2017","10.732","10.663","10.871","10.455","520.22K","1.64%"
"03/01/2017","10.559","10.244","10.732","10.244","730.17K","3.08%"
"02/01/2017","10.244","10.657","10.657","10.244","1.23M","-2.68%"
