"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","1.400","1.400","1.400","1.400","106.31K","0.00%"
"10/01/2023","1.400","1.500","1.530","1.400","323.24K","-6.04%"
"09/01/2023","1.490","1.540","1.550","1.470","1.59M","-3.87%"
"08/01/2023","1.550","1.530","1.580","1.510","3.07M","1.31%"
"07/01/2023","1.530","1.580","1.640","1.500","6.99M","-3.16%"
"06/01/2023","1.580","1.558","1.670","1.540","1.96M","-8.14%"
"05/01/2023","1.720","1.800","1.800","1.630","2.35M","2.38%"
"04/01/2023","1.680","1.473","1.750","1.473","2.21M","-3.45%"
"03/01/2023","1.740","1.730","1.750","1.690","2.54M","0.58%"
"02/01/2023","1.730","1.730","1.750","1.670","2.34M","1.17%"
"01/01/2023","1.710","1.720","1.780","1.700","2.53M","1.18%"
"12/01/2022","1.690","1.570","1.700","1.530","2.59M","10.46%"
"11/01/2022","1.530","1.580","1.700","1.530","4.56M","-3.16%"
"10/01/2022","1.580","1.480","1.630","1.480","12.88M","6.76%"
"09/01/2022","1.480","1.440","1.540","1.440","54.74M","2.78%"
"08/01/2022","1.440","1.590","1.650","1.420","3.50M","-10.00%"
"07/01/2022","1.600","1.556","1.600","1.450","4.19M","2.80%"
"06/01/2022","1.556","1.382","1.703","1.382","16.57M","12.58%"
"05/01/2022","1.382","1.630","1.648","1.309","9.78M","-15.17%"
"04/01/2022","1.630","1.932","1.984","1.593","6.98M","-15.67%"
"03/01/2022","1.932","1.915","1.941","1.769","5.26M","0.45%"
"02/01/2022","1.924","1.725","1.924","1.631","15.68M","10.40%"
"01/01/2022","1.743","1.561","1.786","1.553","8.31M","12.22%"
"12/01/2021","1.553","1.691","1.725","1.518","7.74M","-8.16%"
"11/01/2021","1.691","1.725","1.769","1.639","6.08M","-2.00%"
"10/01/2021","1.725","1.466","1.812","1.466","3.22M","17.03%"
"09/01/2021","1.474","1.449","1.601","1.382","2.12M","1.74%"
"08/01/2021","1.449","1.517","1.517","1.238","8.71M","-4.44%"
"07/01/2021","1.517","1.618","1.643","1.432","3.62M","-6.25%"
"06/01/2021","1.618","1.709","1.709","1.506","10.11M","-5.36%"
"05/01/2021","1.709","1.693","1.815","1.530","24.37M","1.94%"
"04/01/2021","1.677","1.933","2.005","1.546","8.63M","-13.25%"
"03/01/2021","1.933","1.973","1.989","1.869","4.35M","-2.02%"
"02/01/2021","1.973","1.917","2.077","1.901","9.07M","0.82%"
"01/01/2021","1.957","1.757","1.957","1.749","9.66M","12.90%"
"12/01/2020","1.733","1.837","1.869","1.717","10.03M","-5.65%"
"11/01/2020","1.837","1.637","1.925","1.621","23.08M","11.65%"
"10/01/2020","1.645","1.742","1.742","1.597","2.82M","-5.17%"
"09/01/2020","1.735","1.713","1.785","1.656","2.79M","2.99%"
"08/01/2020","1.685","1.778","1.778","1.656","1.69M","-5.26%"
"07/01/2020","1.778","1.929","1.929","1.656","13.29M","-8.52%"
"06/01/2020","1.944","1.853","1.958","1.850","3.34M","4.88%"
"05/01/2020","1.853","1.659","1.874","1.659","10.40M","11.72%"
"04/01/2020","1.659","1.631","1.701","1.562","2.14M","1.70%"
"03/01/2020","1.631","2.290","2.290","1.576","9.08M","-28.79%"
"02/01/2020","2.290","2.360","2.402","2.290","2.24M","-2.94%"
"01/01/2020","2.360","2.429","2.443","2.353","1.90M","-0.87%"
"12/01/2019","2.381","2.332","2.603","2.325","1.44M","2.08%"
"11/01/2019","2.332","2.415","2.429","2.290","2.26M","-4.00%"
"10/01/2019","2.429","2.249","2.443","2.221","6.45M","8.02%"
"09/01/2019","2.249","2.242","2.346","2.242","2.15M","-0.31%"
