"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","43.000","45.000","45.000","43.000","0.02K","-9.24%"
"10/01/2023","47.380","46.500","47.390","46.000","0.00K","1.89%"
"09/01/2023","46.500","46.000","48.000","45.000","1.35K","4.21%"
"08/01/2023","44.620","47.889","50.000","44.620","8.67K","-15.81%"
"07/01/2023","53.000","44.500","53.900","44.500","27.27K","19.10%"
"06/01/2023","44.500","41.000","45.000","40.600","10.07K","8.54%"
"05/01/2023","41.000","41.000","43.460","41.000","4.84K","0.00%"
"04/01/2023","41.000","46.800","47.000","41.000","9.03K","-12.39%"
"03/01/2023","46.800","38.000","48.500","38.000","5.11K","20.00%"
"02/01/2023","39.000","38.000","40.270","38.000","3.34K","3.17%"
"01/01/2023","37.800","36.500","37.800","35.100","4.37K","6.18%"
"12/01/2022","35.600","34.600","36.400","34.600","2.23K","-3.78%"
"11/01/2022","37.000","34.840","37.000","33.600","7.04K","6.20%"
"10/01/2022","34.840","32.889","34.840","32.000","22.67K","5.93%"
"09/01/2022","32.889","32.472","34.970","30.974","9.43K","-1.00%"
"08/01/2022","33.222","30.807","34.138","29.142","7.87K","6.40%"
"07/01/2022","31.224","28.309","31.224","28.309","5.63K","10.29%"
"06/01/2022","28.309","28.309","30.890","28.060","3.71K","0.00%"
"05/01/2022","28.309","28.726","31.224","28.309","28.83K","-1.45%"
"04/01/2022","28.726","27.069","30.807","24.979","24.28K","3.45%"
"03/01/2022","27.768","21.648","27.768","21.648","30.20K","28.27%"
"02/01/2022","21.648","22.481","22.481","20.816","8.65K","-0.46%"
"01/01/2022","21.748","14.458","23.098","14.458","27.16K","54.18%"
"12/01/2021","14.106","11.755","14.899","11.755","8.62K","41.09%"
"11/01/2021","9.997","9.474","9.997","9.474","7.59K","2.35%"
"10/01/2021","9.768","8.093","10.191","8.093","17.05K","20.71%"
"09/01/2021","8.092","9.010","9.299","8.086","9.45K","-6.60%"
"08/01/2021","8.664","9.530","9.530","8.664","17.33K","-9.09%"
"07/01/2021","9.530","9.704","9.704","9.530","0.79K","-1.79%"
"06/01/2021","9.704","9.819","9.819","9.704","5.63K","-11.72%"
"05/01/2021","10.992","8.654","11.040","8.640","23.31K","27.36%"
"04/01/2021","8.630","8.880","9.120","7.680","21.46K","-2.60%"
"03/01/2021","8.861","7.296","8.861","7.200","6.29K","19.10%"
"02/01/2021","7.440","7.056","7.445","7.056","20.84K","8.39%"
"01/01/2021","6.864","6.816","6.864","6.816","1.50K","0.70%"
"12/01/2020","6.816","6.224","6.932","6.138","50.07K","21.22%"
"11/01/2020","5.623","5.709","5.709","5.623","24.86K","0.69%"
"10/01/2020","5.584","4.721","5.584","4.721","9.11K","23.32%"
"09/01/2020","4.528","4.528","4.528","4.528","3.40K","0.00%"
"08/01/2020","4.528","3.962","4.717","3.962","24.85K","26.32%"
"07/01/2020","3.585","3.056","3.585","3.056","8.50K","18.75%"
"06/01/2020","3.019","3.056","3.056","3.019","1.31K","-1.23%"
"05/01/2020","3.056","3.056","3.056","3.056","1.65K","0.00%"
"04/01/2020","3.056","3.056","3.056","3.056","50.00K","3.85%"
"03/01/2020","2.943","3.094","3.094","2.943","0.48K","-4.88%"
"02/01/2020","3.094","2.830","3.132","2.830","5.20K","2.50%"
"01/01/2020","3.019","3.019","3.094","3.019","10.77K","3.90%"
"12/01/2019","2.905","2.943","2.943","2.905","13.72K","-3.75%"
"11/01/2019","3.019","3.019","3.019","3.019","14.23K","0.00%"
"10/01/2019","3.019","3.015","3.019","3.015","12.00K","-2.44%"
"09/01/2019","3.094","3.094","3.094","3.094","25.14K","0.00%"
"08/01/2019","3.094","3.123","3.123","3.048","19.25K","-3.11%"
"07/01/2019","3.193","3.197","3.197","3.193","5.64K","1.06%"
"06/01/2019","3.160","3.186","3.186","3.160","56.37K","-1.16%"
"04/01/2019","3.197","3.197","3.197","3.197","3.00K","-4.44%"
"03/01/2019","3.346","3.346","3.346","3.346","5.43K","0.00%"
"02/01/2019","3.346","2.974","3.346","2.974","9.44K","12.50%"
"01/01/2019","2.974","3.160","3.160","2.974","2.47K","-5.88%"
"12/01/2018","3.160","3.160","3.160","3.160","9.50K","-4.28%"
"11/01/2018","3.301","3.301","3.301","3.301","2.00K","0.00%"
"10/01/2018","3.301","3.342","3.346","3.268","13.02K","-1.33%"
"09/01/2018","3.346","2.974","3.495","2.974","5.37K","12.45%"
"08/01/2018","2.975","2.975","2.975","2.975","0.92K","0.00%"
"07/01/2018","2.975","2.975","2.975","2.939","1.60K","0.00%"
"06/01/2018","2.975","3.122","3.122","2.942","10.88K","-4.71%"
"05/01/2018","3.122","3.306","3.306","3.122","6.33K","-10.05%"
"04/01/2018","3.471","3.306","3.471","3.306","1.15K","-0.42%"
"03/01/2018","3.486","3.486","3.490","3.486","3.18K","-0.11%"
"02/01/2018","3.490","3.673","3.673","3.490","6.23K","-5.00%"
"01/01/2018","3.673","3.673","3.673","3.673","7.61K","0.00%"
"12/01/2017","3.673","3.857","3.857","3.673","8.39K","-4.76%"
"11/01/2017","3.857","3.949","4.040","3.673","7.48K","-1.87%"
"10/01/2017","3.930","4.040","4.040","3.714","17.31K","-2.73%"
"09/01/2017","4.040","4.224","4.224","4.040","5.24K","-2.65%"
"08/01/2017","4.151","4.077","4.408","4.077","3.04K","-6.84%"
"07/01/2017","4.455","4.113","4.455","4.113","6.54K","8.33%"
"06/01/2017","4.113","3.965","4.133","3.965","52.91K","2.13%"
"05/01/2017","4.027","4.113","4.113","4.027","24.49K","0.43%"
"04/01/2017","4.010","3.945","4.010","3.945","84.34K","2.63%"
"03/01/2017","3.907","4.113","4.215","3.907","1.64K","-0.87%"
"02/01/2017","3.941","3.976","4.113","3.804","2.40K","-0.86%"
