"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","9.920","9.650","9.920","9.600","1.84K","4.42%"
"10/01/2023","9.500","9.900","10.190","9.160","8.75K","-4.04%"
"09/01/2023","9.900","10.100","10.100","9.500","82.21K","-0.90%"
"08/01/2023","9.990","10.000","10.190","9.460","149.84K","2.99%"
"07/01/2023","9.700","9.250","10.400","9.000","263.81K","4.19%"
"06/01/2023","9.310","8.951","10.064","8.951","325.62K","-11.33%"
"05/01/2023","10.500","10.350","10.740","9.990","289.04K","1.45%"
"04/01/2023","10.350","9.110","10.350","8.900","152.77K","13.61%"
"03/01/2023","9.110","8.700","9.300","8.190","112.52K","5.93%"
"02/01/2023","8.600","7.500","8.600","7.400","102.45K","10.26%"
"01/01/2023","7.800","7.950","8.100","7.800","126.65K","-1.27%"
"12/01/2022","7.900","7.750","8.010","7.200","123.80K","1.28%"
"11/01/2022","7.800","8.200","8.750","7.750","209.55K","-4.53%"
"10/01/2022","8.170","7.724","8.390","7.586","216.94K","7.05%"
"09/01/2022","7.632","7.448","8.083","7.356","228.03K","3.75%"
"08/01/2022","7.356","8.368","8.414","7.356","189.22K","-5.88%"
"07/01/2022","7.816","6.345","8.285","6.345","191.33K","18.06%"
"06/01/2022","6.621","6.805","8.064","6.299","436.10K","2.86%"
"05/01/2022","6.437","7.402","8.101","5.802","679.48K","-16.67%"
"04/01/2022","7.724","9.701","10.115","6.805","679.65K","-17.24%"
"03/01/2022","9.333","8.276","10.115","8.276","291.54K","11.54%"
"02/01/2022","8.368","9.195","9.195","8.184","420.76K","-9.00%"
"01/01/2022","9.195","5.450","10.193","5.330","1.01M","68.73%"
"12/01/2021","5.450","4.540","5.450","4.414","672.41K","19.58%"
"11/01/2021","4.557","3.593","4.689","3.593","797.17K","30.09%"
"10/01/2021","3.503","2.911","3.593","2.860","280.26K","16.57%"
"09/01/2021","3.005","2.816","3.184","2.793","276.81K","5.08%"
"08/01/2021","2.860","1.804","2.905","1.804","437.80K","63.58%"
"07/01/2021","1.749","2.374","2.374","1.749","360.84K","-24.94%"
"06/01/2021","2.330","2.598","2.788","1.927","668.10K","-12.59%"
"05/01/2021","2.665","2.764","3.060","2.270","531.90K","-3.57%"
"04/01/2021","2.764","2.996","3.208","2.172","544.09K","-7.59%"
"03/01/2021","2.991","3.011","3.011","2.665","342.65K","-0.66%"
"02/01/2021","3.011","2.739","3.208","2.739","409.69K","9.91%"
"01/01/2021","2.739","2.369","2.863","2.320","120.55K","16.84%"
"12/01/2020","2.344","2.695","3.008","2.344","325.53K","-11.89%"
"11/01/2020","2.661","2.395","2.680","2.028","608.52K","10.20%"
"10/01/2020","2.414","1.767","2.414","1.767","346.93K","38.50%"
"09/01/2020","1.743","1.714","1.743","1.594","414.43K","3.36%"
"08/01/2020","1.687","1.410","1.710","1.377","471.49K","21.21%"
"07/01/2020","1.391","1.406","1.406","1.359","207.23K","0.68%"
"06/01/2020","1.382","1.359","1.406","1.359","241.87K","1.72%"
"05/01/2020","1.359","1.096","1.452","1.092","500.04K","25.00%"
"04/01/2020","1.087","1.073","1.087","0.989","163.82K","1.31%"
"03/01/2020","1.073","1.345","1.382","0.937","593.62K","-20.21%"
"02/01/2020","1.345","1.363","1.499","1.298","344.87K","-1.37%"
"01/01/2020","1.363","1.406","1.476","1.359","211.60K","-3.96%"
"12/01/2019","1.420","1.218","1.420","1.171","2.70M","16.54%"
"11/01/2019","1.218","1.391","1.406","1.124","191.34K","-12.46%"
"10/01/2019","1.391","1.523","1.523","1.335","150.12K","-10.27%"
"09/01/2019","1.551","1.480","1.551","1.406","519.69K","4.75%"
"08/01/2019","1.480","1.541","1.541","1.476","84.12K","-3.87%"
"07/01/2019","1.540","1.545","1.578","1.493","344.76K","0.00%"
"06/01/2019","1.540","1.517","1.587","1.423","133.13K","1.54%"
"05/01/2019","1.517","1.704","1.750","1.517","214.43K","-10.96%"
"04/01/2019","1.704","1.867","1.867","1.704","101.73K","-8.52%"
"03/01/2019","1.862","1.867","1.881","1.844","227.00K","-0.25%"
"02/01/2019","1.867","1.867","1.867","1.830","262.57K","-2.44%"
"01/01/2019","1.914","1.895","1.918","1.844","103.90K","0.99%"
"12/01/2018","1.895","1.904","1.904","1.727","138.77K","-0.49%"
"11/01/2018","1.904","1.774","1.914","1.774","90.32K","5.97%"
"10/01/2018","1.797","1.867","1.937","1.750","132.11K","0.00%"
"09/01/2018","1.797","1.820","1.867","1.657","146.33K","-1.28%"
"08/01/2018","1.820","1.951","1.951","1.727","236.47K","-6.72%"
"07/01/2018","1.951","1.928","2.021","1.812","189.45K","0.48%"
"06/01/2018","1.942","2.402","2.402","1.942","154.04K","-19.46%"
"05/01/2018","2.411","2.509","2.509","2.323","230.87K","-6.15%"
"04/01/2018","2.569","2.555","2.671","2.462","181.55K","-1.25%"
"03/01/2018","2.602","2.602","2.644","2.490","84.92K","-0.53%"
"02/01/2018","2.616","2.788","2.788","2.551","380.06K","-6.01%"
"01/01/2018","2.783","2.843","2.843","2.602","487.32K","-3.23%"
"12/01/2017","2.876","2.941","2.950","2.555","1.18M","-2.52%"
"11/01/2017","2.950","2.904","3.020","2.788","234.14K","-0.63%"
"10/01/2017","2.969","2.834","3.066","2.834","562.38K","4.75%"
"09/01/2017","2.834","2.857","2.950","2.834","449.96K","2.24%"
"08/01/2017","2.772","2.829","2.894","2.676","624.26K","-3.34%"
"07/01/2017","2.868","2.689","2.885","2.676","465.55K","6.63%"
"06/01/2017","2.689","2.916","2.916","2.689","347.83K","-7.76%"
"05/01/2017","2.916","2.872","2.916","2.611","302.53K","1.52%"
"04/01/2017","2.872","2.842","3.016","2.698","216.04K","-3.37%"
"03/01/2017","2.972","2.916","3.046","2.763","413.55K","-0.29%"
"02/01/2017","2.981","3.046","3.220","2.937","233.57K","-0.87%"
