"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","0.900","0.900","0.920","0.870","8.25K","0.00%"
"10/01/2023","0.900","1.010","1.010","0.850","93.19K","-12.62%"
"09/01/2023","1.030","1.140","1.150","1.020","1.42M","-6.36%"
"08/01/2023","1.100","1.079","1.130","1.040","954.87K","0.92%"
"07/01/2023","1.090","1.080","1.200","1.040","612.13K","0.00%"
"06/01/2023","1.090","1.170","1.200","1.050","1.92M","-7.63%"
"05/01/2023","1.180","1.160","1.270","1.110","1.23M","1.72%"
"04/01/2023","1.160","1.254","1.294","1.150","896.26K","-7.20%"
"03/01/2023","1.250","1.300","1.300","1.210","739.07K","-0.79%"
"02/01/2023","1.260","1.290","1.300","1.200","741.27K","-3.08%"
"01/01/2023","1.300","1.390","1.500","1.300","2.02M","-7.14%"
"12/01/2022","1.400","1.440","1.450","1.310","1.30M","0.00%"
"11/01/2022","1.400","1.441","1.491","1.350","2.12M","-3.53%"
"10/01/2022","1.451","1.392","1.511","1.312","8.99M","4.29%"
"09/01/2022","1.392","1.362","1.461","1.302","1.28M","0.00%"
"08/01/2022","1.392","1.359","1.481","1.340","2.20M","2.36%"
"07/01/2022","1.359","1.272","1.554","1.243","1.35M","6.87%"
"06/01/2022","1.272","1.408","1.457","1.262","1.99M","-7.75%"
"05/01/2022","1.379","1.466","1.554","1.311","2.96M","-7.19%"
"04/01/2022","1.486","1.774","1.984","1.359","6.37M","-15.78%"
"03/01/2022","1.764","1.745","1.812","1.726","2.64M","-2.13%"
"02/01/2022","1.802","1.745","1.812","1.716","3.29M","1.08%"
"01/01/2022","1.783","1.659","1.917","1.639","4.84M","7.51%"
"12/01/2021","1.659","1.764","1.764","1.601","4.26M","-4.42%"
"11/01/2021","1.735","1.428","1.831","1.400","5.46M","21.48%"
"10/01/2021","1.428","1.007","1.438","0.997","5.81M","40.57%"
"09/01/2021","1.016","0.946","1.055","0.928","4.94M","10.58%"
"08/01/2021","0.919","0.901","0.946","0.829","3.64M","4.08%"
"07/01/2021","0.883","0.897","0.973","0.847","5.62M","-1.58%"
"06/01/2021","0.897","0.881","0.913","0.693","7.04M","1.24%"
"05/01/2021","0.886","0.827","0.931","0.707","12.06M","8.18%"
"04/01/2021","0.819","0.848","0.905","0.596","6.10M","-3.35%"
"03/01/2021","0.848","0.797","0.848","0.797","4.19M","6.36%"
"02/01/2021","0.797","0.724","0.876","0.703","3.19M","14.58%"
"01/01/2021","0.695","0.645","0.724","0.616","2.93M","7.87%"
"12/01/2020","0.645","0.615","0.681","0.615","1.77M","3.64%"
"11/01/2020","0.622","0.551","0.636","0.544","2.38M","15.70%"
"10/01/2020","0.538","0.483","0.551","0.476","1.19M","11.27%"
"09/01/2020","0.483","0.505","0.505","0.463","1.86M","1.00%"
"08/01/2020","0.478","0.485","0.498","0.458","1.79M","-2.70%"
"07/01/2020","0.492","0.492","0.512","0.485","1.46M","0.00%"
"06/01/2020","0.492","0.478","0.532","0.472","1.79M","2.78%"
"05/01/2020","0.478","0.458","0.505","0.439","1.29M","7.46%"
"04/01/2020","0.445","0.392","0.445","0.372","2.93M","11.67%"
"03/01/2020","0.399","0.598","0.598","0.392","5.74M","-30.23%"
"02/01/2020","0.571","0.598","0.618","0.565","2.63M","-5.49%"
"01/01/2020","0.605","0.611","0.618","0.591","3.73M","0.00%"
"12/01/2019","0.605","0.578","0.625","0.551","2.56M","4.60%"
"11/01/2019","0.578","0.515","0.598","0.515","8.65M","12.15%"
"10/01/2019","0.515","0.425","0.528","0.419","11.04M","19.40%"
"09/01/2019","0.432","0.412","0.451","0.412","1.87M","4.69%"
"08/01/2019","0.412","0.448","0.460","0.399","2.36M","-11.66%"
"07/01/2019","0.467","0.467","0.467","0.448","2.21M","1.37%"
"06/01/2019","0.460","0.423","0.467","0.423","2.41M","8.96%"
"05/01/2019","0.423","0.479","0.486","0.423","6.47M","-11.84%"
"04/01/2019","0.479","0.489","0.495","0.473","4.68M","-4.37%"
"03/01/2019","0.501","0.477","0.507","0.465","6.10M","5.13%"
"02/01/2019","0.477","0.471","0.501","0.459","4.58M","1.30%"
"01/01/2019","0.471","0.428","0.471","0.416","2.06M","10.00%"
"12/01/2018","0.428","0.422","0.440","0.403","5.42M","2.94%"
"11/01/2018","0.416","0.385","0.416","0.379","3.17M","11.38%"
"10/01/2018","0.373","0.403","0.409","0.361","2.71M","-7.35%"
"09/01/2018","0.403","0.415","0.421","0.391","2.76M","-1.45%"
"08/01/2018","0.409","0.456","0.456","0.403","3.57M","-10.33%"
"07/01/2018","0.456","0.444","0.456","0.427","6.59M","1.30%"
"06/01/2018","0.450","0.485","0.485","0.421","3.82M","-7.23%"
"05/01/2018","0.485","0.485","0.503","0.485","7.29M","0.00%"
"04/01/2018","0.485","0.432","0.485","0.421","10.56M","13.81%"
"03/01/2018","0.426","0.398","0.443","0.381","4.42M","5.63%"
"02/01/2018","0.404","0.421","0.426","0.398","3.27M","-5.33%"
"01/01/2018","0.426","0.409","0.455","0.404","8.61M","4.17%"
"12/01/2017","0.409","0.449","0.455","0.352","9.79M","-8.86%"
"11/01/2017","0.449","0.418","0.457","0.418","7.60M","7.38%"
"10/01/2017","0.418","0.346","0.429","0.346","18.83M","20.97%"
"09/01/2017","0.346","0.290","0.351","0.290","10.26M","21.57%"
"08/01/2017","0.284","0.281","0.295","0.273","4.08M","1.29%"
"07/01/2017","0.281","0.286","0.297","0.275","2.14M","-1.92%"
"06/01/2017","0.286","0.308","0.314","0.281","2.17M","-7.14%"
"05/01/2017","0.308","0.319","0.319","0.297","3.57M","-5.08%"
"04/01/2017","0.325","0.333","0.343","0.319","5.15M","-2.39%"
"03/01/2017","0.333","0.284","0.338","0.258","10.52M","24.00%"
"02/01/2017","0.268","0.295","0.306","0.263","4.00M","-5.66%"
