"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","3.660","3.700","3.750","3.630","10.46K","-2.14%"
"10/01/2023","3.740","3.860","3.860","3.700","12.33K","-1.84%"
"09/01/2023","3.810","3.840","3.900","3.780","1.94M","-0.52%"
"08/01/2023","3.830","3.870","4.000","3.790","5.60M","-1.03%"
"07/01/2023","3.870","3.860","3.910","3.700","497.57K","0.52%"
"06/01/2023","3.850","4.000","4.000","3.760","607.85K","-3.02%"
"05/01/2023","3.970","4.000","4.080","3.870","540.20K","0.51%"
"04/01/2023","3.950","3.950","4.050","3.750","5.62M","-1.25%"
"03/01/2023","4.000","4.080","4.080","3.880","374.00K","-1.23%"
"02/01/2023","4.050","4.050","4.100","3.900","2.43M","-0.49%"
"01/01/2023","4.070","4.000","4.150","3.980","1.33M","3.04%"
"12/01/2022","3.950","4.050","4.150","3.700","4.12M","-1.74%"
"11/01/2022","4.020","3.842","4.200","3.650","2.28M","4.87%"
"10/01/2022","3.833","3.427","3.861","3.390","1.90M","11.87%"
"09/01/2022","3.427","3.390","3.616","3.300","928.91K","-2.82%"
"08/01/2022","3.526","3.616","3.707","3.418","2.16M","-1.27%"
"07/01/2022","3.571","3.300","3.616","3.228","2.04M","8.22%"
"06/01/2022","3.300","3.526","3.707","3.201","1.39M","-5.19%"
"05/01/2022","3.481","4.105","4.132","3.390","3.12M","-16.30%"
"04/01/2022","4.159","4.521","4.611","3.779","2.69M","-8.00%"
"03/01/2022","4.521","4.475","4.566","4.285","1.83M","1.01%"
"02/01/2022","4.475","4.475","4.656","4.249","2.83M","-1.59%"
"01/01/2022","4.548","4.430","4.566","4.340","3.76M","1.62%"
"12/01/2021","4.475","4.683","4.683","4.204","3.39M","-4.07%"
"11/01/2021","4.665","4.394","4.973","4.394","1.39M","4.24%"
"10/01/2021","4.475","4.068","4.575","4.005","9.07M","10.00%"
"09/01/2021","4.068","3.978","4.249","3.978","1.43M","2.27%"
"08/01/2021","3.978","4.484","4.493","3.842","3.15M","-11.29%"
"07/01/2021","4.484","4.584","4.611","4.376","1.81M","-2.75%"
"06/01/2021","4.611","4.559","4.952","4.363","5.32M","2.91%"
"05/01/2021","4.480","4.284","4.598","4.142","3.83M","4.59%"
"04/01/2021","4.284","4.614","4.638","3.765","2.28M","-7.63%"
"03/01/2021","4.638","4.795","4.795","4.598","2.84M","-2.48%"
"02/01/2021","4.756","4.583","4.921","4.583","4.50M","5.22%"
"01/01/2021","4.520","4.166","4.685","4.064","4.27M","8.49%"
"12/01/2020","4.166","4.539","4.630","4.166","2.40M","-6.98%"
"11/01/2020","4.479","4.161","4.690","3.480","2.68M","9.63%"
"10/01/2020","4.085","4.085","4.236","4.070","1.76M","0.37%"
"09/01/2020","4.070","4.085","4.085","3.972","1.09M","-2.18%"
"08/01/2020","4.161","4.350","4.350","4.123","496.87K","-4.35%"
"07/01/2020","4.350","4.388","4.426","4.010","2.72M","-1.37%"
"06/01/2020","4.410","3.593","4.426","3.518","3.27M","22.74%"
"05/01/2020","3.593","3.064","3.692","3.026","6.49M","17.28%"
"04/01/2020","3.064","3.669","3.669","2.950","3.34M","-15.62%"
"03/01/2020","3.631","4.426","4.653","3.631","2.01M","-17.95%"
