"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","2.500","2.510","2.550","2.450","10.70K","0.00%"
"10/01/2023","2.500","2.530","2.620","2.400","0.20K","-3.10%"
"09/01/2023","2.580","2.700","2.700","2.530","458.53K","-0.39%"
"08/01/2023","2.590","2.581","2.750","2.500","469.48K","-7.17%"
"07/01/2023","2.790","2.700","2.800","2.700","637.31K","2.20%"
"06/01/2023","2.730","2.730","2.800","2.560","461.79K","-0.73%"
"05/01/2023","2.750","2.700","2.750","2.550","541.93K","4.17%"
"04/01/2023","2.640","2.633","2.850","2.520","679.34K","-5.71%"
"03/01/2023","2.800","2.600","2.850","2.500","1.16M","8.53%"
"02/01/2023","2.580","2.700","2.720","2.580","920.04K","-4.80%"
"01/01/2023","2.710","2.600","2.790","2.580","970.00K","2.26%"
"12/01/2022","2.650","2.500","2.650","2.330","3.16M","8.16%"
"11/01/2022","2.450","2.393","2.670","2.393","1.36M","2.39%"
"10/01/2022","2.393","2.393","2.432","2.295","961.06K","0.00%"
"09/01/2022","2.393","2.618","2.676","2.393","667.07K","-8.58%"
"08/01/2022","2.618","2.360","2.784","2.360","923.50K","10.90%"
"07/01/2022","2.360","2.478","2.478","2.224","667.55K","-4.76%"
"06/01/2022","2.478","2.406","2.524","2.315","267.94K","3.02%"
"05/01/2022","2.406","2.814","2.814","2.406","428.51K","-17.45%"
"04/01/2022","2.914","2.886","3.061","2.542","223.87K","-1.11%"
"03/01/2022","2.947","2.623","3.104","2.615","869.90K","11.96%"
"02/01/2022","2.632","2.711","2.842","2.448","638.43K","-5.94%"
"01/01/2022","2.798","2.448","2.929","2.448","959.51K","10.34%"
"12/01/2021","2.536","2.448","2.580","2.361","567.73K","3.57%"
"11/01/2021","2.448","2.394","2.492","2.361","715.06K","1.17%"
"10/01/2021","2.420","2.129","2.565","1.967","1.42M","13.65%"
"09/01/2021","2.129","1.975","2.138","1.975","2.44M","11.66%"
"08/01/2021","1.907","2.027","2.027","1.676","1.94M","-5.91%"
"07/01/2021","2.027","1.881","2.317","1.821","2.97M","7.73%"
"06/01/2021","1.881","2.283","2.300","1.847","4.61M","-16.98%"
"05/01/2021","2.266","2.223","2.523","2.095","6.92M","1.53%"
"04/01/2021","2.232","3.322","3.348","2.138","2.10M","-32.82%"
"03/01/2021","3.322","3.279","3.373","3.023","839.53K","1.57%"
"02/01/2021","3.271","3.305","3.416","3.245","689.48K","-1.79%"
"01/01/2021","3.331","3.228","3.459","3.203","459.46K","2.63%"
"12/01/2020","3.245","3.134","3.373","3.126","372.95K","3.54%"
"11/01/2020","3.134","3.160","3.245","2.989","1.87M","-0.81%"
"10/01/2020","3.160","3.501","3.501","3.160","108.90K","-9.76%"
"09/01/2020","3.501","3.351","3.698","3.351","331.27K","4.50%"
"08/01/2020","3.351","3.359","3.469","3.311","137.89K","-1.16%"
"07/01/2020","3.390","3.737","3.737","3.311","582.53K","-9.47%"
"06/01/2020","3.745","3.485","3.879","3.319","654.32K","7.71%"
"05/01/2020","3.477","3.698","3.706","3.469","253.11K","-5.97%"
