"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","30.500","30.800","30.800","30.100","1.34K","-1.61%"
"10/01/2023","31.000","30.000","31.000","29.150","25.54K","1.64%"
"09/01/2023","30.500","31.000","31.000","29.000","107.25K","-1.61%"
"08/01/2023","31.000","31.000","31.990","30.300","117.43K","2.14%"
"07/01/2023","30.350","28.219","32.222","28.219","228.09K","5.57%"
"06/01/2023","28.750","29.390","29.500","28.000","224.56K","-2.54%"
"05/01/2023","29.500","29.250","30.500","28.150","157.56K","1.72%"
"04/01/2023","29.000","29.320","30.900","29.000","27.38K","-3.33%"
"03/01/2023","30.000","30.000","30.000","27.920","96.13K","2.04%"
"02/01/2023","29.400","31.990","32.000","29.400","45.13K","-7.84%"
"01/01/2023","31.900","29.800","33.000","29.000","244.12K","7.05%"
"12/01/2022","29.800","29.408","30.300","27.250","58.45K","1.84%"
"11/01/2022","29.261","28.969","31.212","28.481","87.52K","1.01%"
"10/01/2022","28.969","27.311","30.237","27.311","649.93K","9.96%"
"09/01/2022","26.345","26.335","27.915","25.848","416.61K","-4.22%"
"08/01/2022","27.506","26.345","29.261","24.872","228.52K","4.44%"
"07/01/2022","26.335","26.423","27.311","23.897","89.80K","-0.33%"
"06/01/2022","26.423","28.969","28.969","26.423","329.51K","-9.09%"
"05/01/2022","29.066","38.918","38.918","28.091","366.27K","-25.50%"
"04/01/2022","39.015","43.658","44.440","38.040","265.09K","-10.63%"
"03/01/2022","43.658","42.016","46.362","42.016","201.78K","3.91%"
"02/01/2022","42.016","41.050","45.406","36.704","571.82K","1.16%"
"01/01/2022","41.533","35.738","45.879","35.738","1.29M","17.81%"
"12/01/2021","35.255","29.757","37.090","27.889","1.83M","18.47%"
"11/01/2021","29.757","19.569","29.953","19.559","3.68M","52.07%"
"10/01/2021","19.569","15.804","20.173","15.153","327.06K","22.38%"
"09/01/2021","15.990","14.595","16.835","14.595","209.24K","9.55%"
"08/01/2021","14.595","13.944","15.339","11.992","169.36K","8.28%"
"07/01/2021","13.480","15.813","15.813","12.829","255.25K","-14.76%"
"06/01/2021","15.813","18.500","20.173","13.294","636.13K","-14.95%"
"05/01/2021","18.592","21.846","23.241","15.804","444.21K","-13.79%"
"04/01/2021","21.567","22.687","24.049","16.733","501.19K","-4.94%"
"03/01/2021","22.687","23.595","24.956","21.871","236.87K","-3.85%"
"02/01/2021","23.595","19.783","25.818","19.783","273.53K","19.27%"
"01/01/2021","19.783","19.293","20.600","19.057","170.72K","4.21%"
