"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","3.650","3.650","3.650","3.650","2.91M","0.83%"
"10/01/2023","3.620","3.650","3.670","3.450","248.53K","1.97%"
"09/01/2023","3.550","3.260","3.640","3.260","18.31M","4.41%"
"08/01/2023","3.400","3.380","3.500","3.250","1.98M","0.59%"
"07/01/2023","3.380","3.250","3.450","3.100","2.88M","4.00%"
"06/01/2023","3.250","3.400","3.400","3.250","2.08M","-4.41%"
"05/01/2023","3.400","16.386","16.386","3.370","2.48M","-79.14%"
"04/01/2023","16.300","13.477","17.903","13.477","2.25M","20.30%"
"03/01/2023","13.550","13.500","13.700","13.000","1.32M","0.37%"
"02/01/2023","13.500","11.290","13.750","10.500","2.74M","19.47%"
"01/01/2023","11.300","7.100","11.700","6.900","1.93M","59.15%"
"12/01/2022","7.100","7.500","7.590","6.000","727.69K","-5.33%"
"11/01/2022","7.500","4.019","7.500","3.920","5.32M","86.61%"
"10/01/2022","4.019","3.667","4.048","3.629","3.96M","9.61%"
"09/01/2022","3.667","3.876","3.886","3.667","25.63M","-3.75%"
"08/01/2022","3.810","3.714","3.905","3.619","64.92K","3.09%"
"07/01/2022","3.695","3.619","3.810","3.286","81.55K","-3.96%"
"06/01/2022","3.848","3.571","3.857","3.429","37.76K","7.73%"
"05/01/2022","3.571","4.000","4.000","3.524","213.79K","-4.82%"
"04/01/2022","3.752","4.259","4.286","3.743","127.57K","-11.90%"
"03/01/2022","4.259","4.146","4.288","4.146","119.99K","2.73%"
"02/01/2022","4.146","4.146","4.240","4.043","221.40K","-0.23%"
"01/01/2022","4.156","3.816","4.240","3.816","150.89K","10.25%"
"12/01/2021","3.769","4.024","4.024","3.769","56.75K","-6.54%"
"11/01/2021","4.033","4.000","4.136","3.954","96.58K","0.83%"
"10/01/2021","4.000","3.682","4.000","3.563","122.02K","12.24%"
"09/01/2021","3.563","3.363","4.091","3.363","334.23K","21.36%"
"08/01/2021","2.936","3.409","3.409","2.773","1.63M","-13.87%"
"07/01/2021","3.409","3.545","3.591","3.409","439.01K","-2.60%"
"06/01/2021","3.500","4.336","4.336","3.500","741.98K","-19.29%"
"05/01/2021","4.336","4.500","4.727","4.091","849.64K","-3.64%"
"04/01/2021","4.500","5.342","5.386","3.636","2.48M","-15.76%"
"03/01/2021","5.342","5.209","5.430","5.209","3.25M","2.54%"
"02/01/2021","5.209","4.945","5.563","4.945","2.29M","4.98%"
"01/01/2021","4.962","4.856","4.962","4.847","309.01K","4.07%"
"12/01/2020","4.768","4.521","4.768","4.521","1.15M","5.47%"
"11/01/2020","4.521","4.591","4.635","4.459","541.20K","-1.54%"
"10/01/2020","4.591","4.503","4.591","4.344","231.43K","4.00%"
"09/01/2020","4.415","4.415","4.415","4.415","48.70K","0.00%"
"08/01/2020","4.415","4.503","4.503","4.326","107.73K","-1.57%"
"07/01/2020","4.485","4.688","4.688","4.485","422.34K","-4.15%"
"06/01/2020","4.680","4.635","4.724","4.635","42.15K","2.71%"
"05/01/2020","4.556","4.503","4.591","4.415","1.48M","1.18%"
"04/01/2020","4.503","5.227","5.227","4.503","1.79M","-14.72%"
"03/01/2020","5.280","5.872","5.995","5.280","215.75K","-8.98%"
"02/01/2020","5.801","6.181","6.181","5.801","239.69K","-8.11%"
"01/01/2020","6.313","6.357","6.357","6.313","245.98K","-2.72%"
"12/01/2019","6.490","6.048","6.490","6.048","153.83K","7.30%"
"11/01/2019","6.048","6.295","6.357","6.048","343.31K","-3.92%"
"10/01/2019","6.295","5.705","6.603","5.688","3.80M","10.34%"
"09/01/2019","5.705","5.696","5.740","5.564","2.48M","0.00%"
"08/01/2019","5.705","5.420","5.705","5.415","1.29M","4.93%"
"07/01/2019","5.437","4.727","5.472","4.727","812.42K","15.24%"
"06/01/2019","4.718","4.657","4.823","4.657","1.61M","1.32%"
"05/01/2019","4.657","4.677","4.753","4.625","99.21K","-1.18%"
"04/01/2019","4.712","4.654","4.765","4.645","379.01K","1.08%"
"03/01/2019","4.662","4.492","4.747","4.492","319.00K","3.77%"
"02/01/2019","4.492","4.408","4.492","4.391","429.08K","0.76%"
"01/01/2019","4.459","4.518","4.518","4.459","3.90M","-1.31%"
"12/01/2018","4.518","4.560","4.560","4.408","271.31K","-0.93%"
"11/01/2018","4.560","4.569","4.586","4.492","241.63K","-0.25%"
"10/01/2018","4.572","4.741","4.741","4.538","1.05M","-4.42%"
"09/01/2018","4.783","4.986","4.994","4.732","284.01K","-2.75%"
"08/01/2018","4.918","5.138","5.181","4.817","672.04K","-4.13%"
"07/01/2018","5.130","4.886","5.138","4.801","324.99K","6.84%"
"06/01/2018","4.801","5.130","5.130","4.801","531.60K","-6.40%"
"05/01/2018","5.130","5.037","5.130","4.827","325.76K","1.85%"
"04/01/2018","5.037","4.653","5.037","4.653","215.75K","7.31%"
"03/01/2018","4.694","4.734","4.734","4.612","129.52K","-0.86%"
"02/01/2018","4.734","4.694","4.751","4.571","346.73K","0.87%"
"01/01/2018","4.694","4.653","4.694","4.457","828.22K","1.95%"
"12/01/2017","4.604","4.816","4.914","4.204","939.80K","-3.59%"
"11/01/2017","4.775","4.681","4.966","4.681","364.00K","1.49%"
"10/01/2017","4.705","4.640","4.884","4.477","201.48M","1.76%"
"09/01/2017","4.624","4.477","4.681","4.477","775.30K","3.27%"
"08/01/2017","4.477","4.583","4.583","4.363","629.79K","-2.30%"
"07/01/2017","4.583","4.274","4.623","4.274","162.29K","7.41%"
"06/01/2017","4.266","4.664","4.664","4.153","407.86K","-9.31%"
"05/01/2017","4.704","4.444","4.704","4.145","851.20K","11.97%"
"04/01/2017","4.201","4.299","4.420","4.201","348.32K","-11.22%"
"03/01/2017","4.732","4.709","4.732","4.259","172.28K","0.17%"
"02/01/2017","4.724","4.661","4.827","4.653","503.32K","1.53%"
