"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","3.400","3.400","3.400","3.300","17.40K","0.00%"
"10/01/2023","3.400","3.810","3.810","3.400","19.90K","-10.53%"
"09/01/2023","3.800","4.045","4.100","3.790","1.27M","-1.30%"
"08/01/2023","3.850","4.160","4.250","3.850","2.75M","-3.75%"
"07/01/2023","4.000","4.000","4.020","3.900","268.50K","3.90%"
"06/01/2023","3.850","4.090","4.100","3.720","319.28K","-5.87%"
"05/01/2023","4.090","4.097","4.200","4.040","290.92K","-2.62%"
"04/01/2023","4.200","3.901","4.200","3.725","887.99K","11.70%"
"03/01/2023","3.760","4.200","4.200","3.750","369.99K","-10.48%"
"02/01/2023","4.200","4.000","4.400","3.600","1.26M","5.00%"
"01/01/2023","4.000","3.610","4.850","3.410","760.18K","11.42%"
"12/01/2022","3.590","4.610","4.610","3.500","840.76K","-26.73%"
"11/01/2022","4.900","2.718","4.930","2.698","8.57M","80.31%"
"10/01/2022","2.718","2.554","2.746","2.496","7.52M","6.42%"
"09/01/2022","2.554","2.457","2.602","2.332","30.95M","4.33%"
"08/01/2022","2.448","2.335","2.496","2.335","322.01K","4.40%"
"07/01/2022","2.345","2.667","2.667","1.761","658.80K","-11.25%"
"06/01/2022","2.642","2.451","2.718","2.401","469.23K","7.77%"
"05/01/2022","2.451","2.602","2.639","2.159","1.71M","-6.24%"
"04/01/2022","2.615","2.759","2.821","2.432","1.92M","-4.83%"
"03/01/2022","2.747","2.628","2.867","2.568","2.86M","5.02%"
"02/01/2022","2.616","2.568","2.616","2.413","5.41M","3.79%"
"01/01/2022","2.520","2.616","2.688","2.449","1.49M","1.93%"
"12/01/2021","2.473","2.759","2.759","2.449","139.40K","-10.00%"
"11/01/2021","2.747","2.507","2.783","2.332","183.71K","9.10%"
"10/01/2021","2.518","2.215","2.518","2.098","205.15K","16.76%"
"09/01/2021","2.157","2.098","2.332","1.982","1.55M","10.78%"
"08/01/2021","1.947","2.589","2.589","1.924","1.55M","-21.82%"
"07/01/2021","2.490","2.527","2.564","2.379","518.02K","-3.81%"
"06/01/2021","2.589","2.527","2.651","2.305","940.58K","2.44%"
"05/01/2021","2.527","2.352","2.871","2.352","1.73M","7.43%"
"04/01/2021","2.352","3.032","3.032","2.256","3.30M","-23.00%"
"03/01/2021","3.055","2.961","3.149","2.961","1.14M","3.17%"
"02/01/2021","2.961","2.761","2.961","2.714","696.85K","9.57%"
"01/01/2021","2.703","2.409","2.703","2.397","372.61K","15.00%"
"12/01/2020","2.350","2.350","2.526","2.315","3.48M","0.00%"
"11/01/2020","2.350","2.266","2.409","2.244","746.84K","4.22%"
"10/01/2020","2.255","2.255","2.413","2.244","135.99K","0.00%"
