"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","4.600","4.640","4.700","4.600","3.22K","-1.71%"
"10/01/2023","4.680","4.720","4.750","4.600","0.10K","-0.43%"
"09/01/2023","4.700","4.710","4.730","4.680","232.87K","-1.26%"
"08/01/2023","4.760","4.710","4.760","4.660","2.60M","0.00%"
"07/01/2023","4.760","5.050","5.050","4.750","5.78M","-3.84%"
"06/01/2023","4.950","5.100","5.290","4.900","621.37K","-1.98%"
"05/01/2023","5.050","5.410","5.460","4.900","5.07M","-7.51%"
"04/01/2023","5.460","5.366","5.625","5.327","73.14K","2.06%"
"03/01/2023","5.350","5.290","5.350","5.240","40.98K","2.69%"
"02/01/2023","5.210","5.300","5.350","5.210","29.44K","-0.76%"
"01/01/2023","5.250","5.000","5.300","5.000","60.52K","6.06%"
"12/01/2022","4.950","5.030","5.100","4.860","58.74K","-1.62%"
"11/01/2022","5.031","4.982","5.131","4.832","281.50K","1.00%"
"10/01/2022","4.982","5.380","5.380","4.982","120.58K","-7.41%"
"09/01/2022","5.380","5.380","5.480","5.281","11.87K","0.00%"
"08/01/2022","5.380","5.530","5.629","5.380","34.66K","-3.57%"
"07/01/2022","5.579","5.380","5.579","5.181","26.12K","3.70%"
"06/01/2022","5.380","5.659","5.659","5.281","16.95K","-5.26%"
"05/01/2022","5.679","6.217","6.247","5.659","13.78K","-7.62%"
"04/01/2022","6.147","6.637","6.687","6.137","29.47K","-6.68%"
"03/01/2022","6.588","6.429","6.588","6.429","22.55K","2.31%"
"02/01/2022","6.439","6.162","6.538","6.162","47.33K","4.67%"
"01/01/2022","6.152","5.894","6.152","5.845","78.82K","5.97%"
"12/01/2021","5.805","5.845","5.874","5.557","123.79K","-0.87%"
"11/01/2021","5.856","6.050","6.050","5.836","28.67K","-2.11%"
"10/01/2021","5.982","5.739","6.109","5.739","112.51K","6.59%"
"09/01/2021","5.613","5.253","5.613","5.204","17.89K","5.87%"
"08/01/2021","5.301","5.729","5.729","5.156","540.70K","-7.63%"
"07/01/2021","5.739","5.914","5.914","5.739","67.83K","-2.96%"
"06/01/2021","5.914","6.119","6.119","5.856","103.00K","-3.34%"
"05/01/2021","6.119","6.031","6.537","5.982","1.20M","0.48%"
