"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","2.380","2.350","2.380","2.280","145.50K","0.42%"
"10/01/2023","2.370","2.420","2.450","2.220","1.15M","-2.47%"
"09/01/2023","2.430","2.500","2.500","2.380","5.89M","-2.80%"
"08/01/2023","2.500","2.400","2.540","2.350","12.95M","4.17%"
"07/01/2023","2.400","2.220","2.400","2.200","10.74M","9.09%"
"06/01/2023","2.200","2.100","2.270","2.100","19.39M","7.32%"
"05/01/2023","2.050","2.170","2.170","2.010","8.80M","-5.09%"
"04/01/2023","2.160","2.018","2.170","2.018","6.49M","0.47%"
"03/01/2023","2.150","2.190","2.220","2.120","6.89M","-0.46%"
"02/01/2023","2.160","2.200","2.270","2.150","3.27M","-1.37%"
"01/01/2023","2.190","2.260","2.280","2.180","2.75M","-1.79%"
"12/01/2022","2.230","2.250","2.290","2.100","3.02M","-0.89%"
"11/01/2022","2.250","2.260","2.320","2.160","4.40M","-0.44%"
"10/01/2022","2.260","2.190","2.300","2.180","4.38M","5.12%"
"09/01/2022","2.150","2.022","2.250","1.937","13.51M","5.35%"
"08/01/2022","2.041","1.899","2.097","1.871","12.16M","7.46%"
"07/01/2022","1.899","1.994","1.994","1.776","5.23M","-4.74%"
"06/01/2022","1.994","1.984","2.041","1.918","9.11M","0.00%"
"05/01/2022","1.994","2.192","2.211","1.833","27.38M","-10.21%"
"04/01/2022","2.220","2.278","2.323","1.984","23.86M","-1.77%"
"03/01/2022","2.260","2.126","2.332","2.064","13.36M","7.20%"
"02/01/2022","2.108","2.251","2.251","2.010","8.70M","-7.81%"
"01/01/2022","2.287","1.831","2.350","1.831","52.98M","26.11%"
"12/01/2021","1.814","1.697","1.831","1.554","27.05M","7.41%"
"11/01/2021","1.688","1.742","1.742","1.599","9.51M","-5.03%"
"10/01/2021","1.778","1.409","1.787","1.384","14.62M","24.65%"
"09/01/2021","1.426","1.477","1.485","1.384","9.66M","-1.74%"
"08/01/2021","1.452","1.367","1.494","1.190","15.92M","9.55%"
"07/01/2021","1.325","1.342","1.511","1.266","15.38M","-2.48%"
"06/01/2021","1.359","1.452","1.511","1.156","53.61M","-7.47%"
"05/01/2021","1.468","1.553","1.688","1.350","25.43M","-5.43%"
"04/01/2021","1.553","1.772","1.812","1.350","18.55M","-13.14%"
"03/01/2021","1.788","1.675","1.828","1.675","18.84M","5.71%"
"02/01/2021","1.691","1.659","1.739","1.595","20.99M","2.44%"
"01/01/2021","1.651","1.385","1.739","1.377","37.24M","17.82%"
"12/01/2020","1.401","1.361","1.458","1.361","10.22M","2.96%"
"11/01/2020","1.361","1.347","1.409","1.285","9.77M","1.05%"
"10/01/2020","1.347","1.362","1.362","1.247","7.42M","0.00%"
"09/01/2020","1.347","1.311","1.347","1.252","29.96M","1.62%"
"08/01/2020","1.325","1.266","1.325","1.215","5.55M","2.86%"
"07/01/2020","1.289","1.185","1.325","1.104","20.71M","9.38%"
"06/01/2020","1.178","1.060","1.178","1.016","25.38M","11.11%"
"05/01/2020","1.060","0.847","1.060","0.839","19.63M","25.22%"
"04/01/2020","0.847","0.906","0.920","0.817","29.44M","-8.73%"
"03/01/2020","0.928","1.473","1.546","0.884","21.01M","-36.68%"
"02/01/2020","1.465","1.473","1.568","1.436","14.45M","-0.50%"
"01/01/2020","1.473","1.583","1.613","1.473","14.76M","-8.68%"
"12/01/2019","1.613","1.576","1.613","1.473","19.12M","2.34%"
"11/01/2019","1.576","1.574","1.620","1.503","7.90M","1.00%"
"10/01/2019","1.560","1.503","1.560","1.409","38.23M","2.84%"
"09/01/2019","1.517","1.467","1.538","1.467","7.23M","2.93%"
"08/01/2019","1.474","1.553","1.553","1.438","21.55M","-5.09%"
"07/01/2019","1.553","1.639","1.740","1.510","10.20M","-4.42%"
"06/01/2019","1.625","1.530","1.625","1.516","7.90M","6.68%"
"05/01/2019","1.523","1.727","1.755","1.523","13.24M","-11.43%"
"04/01/2019","1.720","1.648","1.720","1.628","8.65M","4.37%"
"03/01/2019","1.648","1.648","1.674","1.628","13.42M","0.41%"
"02/01/2019","1.641","1.681","1.781","1.641","21.23M","-2.38%"
"01/01/2019","1.681","1.688","1.701","1.601","10.24M","-0.79%"
