"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","1.770","1.780","1.780","1.750","0.36K","0.00%"
"10/01/2023","1.770","1.720","1.880","1.720","7.51K","0.00%"
"09/01/2023","1.770","1.750","1.800","1.670","197.70K","5.99%"
"08/01/2023","1.670","1.550","1.720","1.550","181.89K","7.74%"
"07/01/2023","1.550","1.520","1.630","1.520","176.48K","0.00%"
"06/01/2023","1.550","1.530","1.550","1.500","91.07K","1.31%"
"05/01/2023","1.530","1.520","1.590","1.520","135.81K","-1.29%"
"04/01/2023","1.550","1.500","1.550","1.445","423.75K","-3.13%"
"03/01/2023","1.600","1.590","1.600","1.540","138.78K","3.90%"
"02/01/2023","1.540","1.500","1.590","1.460","116.15K","-0.65%"
"01/01/2023","1.550","1.510","1.590","1.510","306.06K","3.33%"
"12/01/2022","1.500","1.470","1.510","1.400","96.84K","2.04%"
"11/01/2022","1.470","1.380","1.500","1.370","259.65K","5.76%"
"10/01/2022","1.390","1.320","1.390","1.320","135.80K","6.92%"
"09/01/2022","1.300","1.280","1.420","1.280","75.86K","-8.45%"
"08/01/2022","1.420","1.300","1.430","1.300","51.95K","5.19%"
"07/01/2022","1.350","1.350","1.350","1.350","10.58K","0.00%"
"06/01/2022","1.350","1.300","1.350","1.250","87.38K","1.50%"
"05/01/2022","1.330","1.350","1.360","1.250","145.15K","1.53%"
"04/01/2022","1.310","1.448","1.448","1.294","270.67K","-8.94%"
"03/01/2022","1.439","1.384","1.448","1.312","223.89K","1.92%"
"02/01/2022","1.411","1.294","1.411","1.267","158.70K","8.33%"
"01/01/2022","1.303","1.240","1.402","1.240","239.78K","9.92%"
"12/01/2021","1.185","1.194","1.240","1.167","140.05K","-5.07%"
"11/01/2021","1.249","1.140","1.267","1.140","314.04K","7.81%"
"10/01/2021","1.158","1.068","1.176","1.050","645.81K","7.56%"
"09/01/2021","1.077","1.013","1.095","1.013","263.40K","6.25%"
"08/01/2021","1.013","1.068","1.104","1.004","220.43K","0.00%"
"07/01/2021","1.013","1.131","1.131","1.013","321.15K","-12.50%"
"06/01/2021","1.158","1.131","1.158","0.968","1.06M","-5.19%"
"05/01/2021","1.221","1.122","1.249","0.995","781.74K","6.30%"
"04/01/2021","1.149","1.381","1.462","0.896","2.22M","-16.79%"
"03/01/2021","1.381","1.300","1.413","1.275","295.84K","5.59%"
