"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","31.500","30.750","31.500","30.750","15.23K","2.27%"
"10/01/2023","30.800","30.610","31.400","30.500","0.04K","-0.96%"
"09/01/2023","31.100","34.000","34.000","31.000","210.52K","-8.12%"
"08/01/2023","33.850","33.600","34.900","33.450","101.67K","0.74%"
"07/01/2023","33.600","34.700","34.800","33.500","59.77K","-2.04%"
"06/01/2023","34.300","33.500","34.990","33.500","90.61K","2.39%"
"05/01/2023","33.500","31.721","33.500","31.000","264.22K","2.92%"
"04/01/2023","32.550","33.300","33.300","32.000","79.73K","-2.25%"
"03/01/2023","33.300","34.250","35.000","32.800","64.91K","-2.06%"
"02/01/2023","34.000","34.010","34.800","33.500","60.79K","-1.16%"
"01/01/2023","34.400","33.960","35.000","33.100","334.70K","4.21%"
"12/01/2022","33.010","36.010","36.500","33.000","1.90M","-8.33%"
"11/01/2022","36.010","34.000","36.010","33.500","1.84M","4.38%"
"10/01/2022","34.500","34.000","34.900","32.150","651.12K","3.76%"
"09/01/2022","33.250","31.100","33.250","30.300","929.08K","7.40%"
"08/01/2022","30.960","29.400","34.300","29.400","571.53K","5.31%"
"07/01/2022","29.400","25.750","29.500","23.450","975.62K","14.17%"
"06/01/2022","25.750","30.500","31.000","25.200","122.47K","-14.39%"
"05/01/2022","30.080","36.210","36.210","30.080","272.50K","-15.56%"
"04/01/2022","35.623","36.895","36.993","35.085","899.62K","-2.99%"
"03/01/2022","36.719","35.231","37.482","35.231","791.76K","6.02%"
"02/01/2022","34.634","34.155","34.859","32.785","248.62K","1.11%"
"01/01/2022","34.253","34.253","36.210","33.421","332.92K","0.14%"
"12/01/2021","34.204","34.448","34.742","32.002","169.41K","-0.91%"
"11/01/2021","34.517","35.853","36.719","34.253","487.36K","-2.95%"
"10/01/2021","35.565","32.104","36.516","32.008","2.68M","10.78%"
"09/01/2021","32.104","26.818","32.537","25.760","1.26M","17.19%"
"08/01/2021","27.394","33.902","33.902","25.280","337.32K","-19.19%"
"07/01/2021","33.902","33.652","35.757","33.642","659.70K","0.77%"
"06/01/2021","33.642","35.565","37.199","31.912","428.87K","-6.67%"
"05/01/2021","36.045","33.755","39.419","33.171","527.80K","7.99%"
"04/01/2021","33.378","40.355","40.355","32.058","538.92K","-16.31%"
"03/01/2021","39.884","41.958","43.184","39.412","397.00K","-4.94%"
"02/01/2021","41.958","39.601","42.429","39.601","403.73K","5.95%"
"01/01/2021","39.601","36.961","42.901","36.961","531.25K","7.14%"
"12/01/2020","36.961","33.472","36.961","33.001","578.13K","10.42%"
"11/01/2020","33.472","31.775","33.566","30.172","927.75K","5.34%"
"10/01/2020","31.775","31.681","31.775","28.569","444.00K","-0.85%"
"09/01/2020","32.048","29.418","33.001","29.418","781.56K","8.94%"
"08/01/2020","29.418","31.021","31.256","29.220","351.24K","-4.00%"
"07/01/2020","30.643","32.058","32.152","29.512","323.77K","-4.41%"
"06/01/2020","32.058","29.050","33.849","29.040","861.88K","10.71%"
"05/01/2020","28.956","28.700","30.653","28.237","405.09K","0.89%"
"04/01/2020","28.700","28.885","29.533","24.534","556.46K","-0.64%"
"03/01/2020","28.885","31.755","31.940","26.052","848.46K","-9.04%"
"02/01/2020","31.755","34.810","35.875","31.755","380.59K","-8.78%"
"01/01/2020","34.810","33.051","36.476","33.051","1.24M","4.44%"
"12/01/2019","33.329","31.940","33.560","31.940","245.85K","2.27%"
"11/01/2019","32.588","32.681","33.810","30.644","557.99K","0.57%"
"10/01/2019","32.403","33.329","33.792","32.403","396.06K","-3.85%"
"09/01/2019","33.699","35.041","35.180","33.606","320.54K","-3.83%"
"08/01/2019","35.041","35.180","35.643","32.866","481.32K","-0.66%"
"07/01/2019","35.273","36.476","37.310","34.995","557.87K","-2.36%"
"06/01/2019","36.125","33.699","36.125","33.699","358.15K","7.94%"
"05/01/2019","33.468","35.050","35.140","33.468","7.56M","-4.51%"
"04/01/2019","35.050","32.084","35.050","31.904","389.67K","9.24%"
"03/01/2019","32.084","32.354","32.354","31.275","424.62K","2.62%"
"02/01/2019","31.266","30.691","32.354","29.433","1.35M","1.87%"
"01/01/2019","30.691","25.434","30.691","25.434","681.08K","20.67%"
"12/01/2018","25.434","26.251","26.251","25.299","457.35K","-3.08%"
"11/01/2018","26.242","23.097","26.737","23.007","776.25K","13.18%"
"10/01/2018","23.187","23.456","23.726","22.468","584.30K","-1.15%"
"09/01/2018","23.456","23.456","23.501","22.378","383.78K","0.00%"
"08/01/2018","23.456","23.187","23.456","22.558","910.93K","1.16%"
"07/01/2018","23.187","22.468","23.367","22.468","425.15K","3.20%"
"06/01/2018","22.468","22.737","23.367","22.198","1.09M","-1.19%"
"05/01/2018","22.737","21.479","22.737","21.156","706.57K","5.86%"
"04/01/2018","21.479","19.772","21.794","19.772","978.39K","7.42%"
"03/01/2018","19.996","19.107","20.446","19.107","481.50K","4.22%"
"02/01/2018","19.188","19.907","19.951","18.693","379.28K","-2.95%"
"01/01/2018","19.772","18.873","19.781","18.199","1.38M","4.76%"
"12/01/2017","18.873","18.729","18.873","17.076","670.11K","0.72%"
"11/01/2017","18.738","17.839","19.322","17.839","634.72K","5.04%"
"10/01/2017","17.839","17.076","17.974","17.076","442.24K","4.47%"
"09/01/2017","17.076","16.536","17.210","16.536","1.05M","3.83%"
"08/01/2017","16.446","16.896","17.120","16.446","454.72K","-1.08%"
"07/01/2017","16.626","15.683","16.626","15.278","801.58K","5.71%"
"06/01/2017","15.727","15.332","16.626","15.332","898.13K","2.88%"
"05/01/2017","15.287","16.267","16.446","14.919","438.05K","-7.55%"
"04/01/2017","16.536","16.515","16.896","16.177","1.47M","0.07%"
"03/01/2017","16.524","16.811","16.811","16.072","1.19M","-1.91%"
"02/01/2017","16.846","16.507","16.854","16.463","277.76K","2.05%"
