"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","1.650","1.650","1.650","1.650","2.44K","-5.71%"
"10/01/2023","1.750","1.750","1.800","1.750","15.18K","0.00%"
"09/01/2023","1.750","1.750","1.760","1.750","33.94K","-0.57%"
"08/01/2023","1.760","1.800","1.800","1.750","55.97K","-2.22%"
"07/01/2023","1.800","1.860","1.860","1.800","159.36K","5.88%"
"06/01/2023","1.700","1.860","1.860","1.700","30.70K","-15.84%"
"05/01/2023","2.020","2.080","2.080","2.000","32.92K","-2.88%"
"04/01/2023","2.080","1.917","2.080","1.917","17.87K","-5.45%"
"03/01/2023","2.200","2.300","2.300","1.900","10.66K","-4.35%"
"02/01/2023","2.300","2.500","2.500","2.300","26.18K","-11.54%"
"01/01/2023","2.600","2.600","2.650","2.600","31.52K","0.00%"
"12/01/2022","2.600","2.580","2.600","2.580","11.00K","0.78%"
"11/01/2022","2.580","2.670","2.670","2.500","36.87K","-4.44%"
"10/01/2022","2.700","2.650","2.700","2.650","32.17K","8.00%"
"09/01/2022","2.500","2.589","2.720","2.461","173.45K","-3.42%"
"08/01/2022","2.589","2.370","2.589","2.352","193.20K","9.23%"
"07/01/2022","2.370","2.507","2.507","2.370","36.41K","-5.45%"
"06/01/2022","2.507","2.570","2.570","2.507","41.00K","-2.48%"
"05/01/2022","2.570","2.734","2.826","2.507","53.52K","-5.37%"
"04/01/2022","2.716","2.715","2.734","2.715","55.06K","-1.54%"
"03/01/2022","2.759","2.496","2.759","2.408","17.54K","10.53%"
"02/01/2022","2.496","2.583","2.583","2.496","53.88K","-1.72%"
"01/01/2022","2.540","2.452","2.548","2.452","41.57K","3.57%"
"12/01/2021","2.452","2.452","2.452","2.417","373.61K","0.00%"
"11/01/2021","2.452","2.452","2.452","2.452","8.24K","0.00%"
"10/01/2021","2.452","2.365","2.452","2.365","66.37K","4.48%"
"09/01/2021","2.347","2.408","2.408","2.321","13.67K","-2.55%"
"08/01/2021","2.408","2.627","2.627","2.408","19.09K","-8.33%"
