"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2023","18.50","18.50","18.50","18.50","0.30K","0.00%"
"09/01/2023","18.50","18.50","18.50","18.49","4.52K","0.00%"
"08/01/2023","18.50","18.50","18.50","18.50","3.12K","0.00%"
"07/01/2023","18.50","19.00","19.00","18.50","0.94K","2.78%"
"06/01/2023","18.00","18.50","18.55","18.00","4.33K","-5.76%"
"03/01/2023","19.10","17.31","19.10","17.31","702.95K","0.53%"
"02/01/2023","19.00","19.00","19.00","19.00","3.92K","-0.52%"
"01/01/2023","19.10","19.10","19.10","19.10","1.00K","3.19%"
"12/01/2022","18.51","18.51","18.51","18.51","0.14K","0.05%"
"11/01/2022","18.50","18.50","18.50","18.50","1.05K","0.00%"
"10/01/2022","18.50","18.50","18.50","18.50","0.05K","0.00%"
"08/01/2022","18.50","14.51","18.50","14.51","4.50K","31.02%"
"06/01/2022","14.12","14.12","14.12","14.12","2.15K","0.00%"
"05/01/2022","14.12","13.00","14.12","13.00","1.07K","-11.81%"
"03/01/2022","16.01","14.11","16.01","14.10","0.58K","14.37%"
"02/01/2022","14.00","12.51","14.00","12.51","2.22K","14.75%"
"01/01/2022","12.20","12.50","12.50","12.20","1.89K","8.44%"
"12/01/2021","11.25","11.25","11.25","11.25","0.11K","14.75%"
"11/01/2021","9.80","9.83","9.83","9.80","2.09K","0.09%"
"10/01/2021","9.79","9.79","9.79","9.79","0.10K","0.09%"
"09/01/2021","9.79","9.79","9.79","9.79","0.15K","0.00%"
"08/01/2021","9.79","9.79","9.79","9.79","10.64K","0.00%"
"06/01/2021","9.79","9.79","9.79","9.79","0.47K","0.00%"
"05/01/2021","9.79","9.79","9.79","9.79","0.53K","0.00%"
"04/01/2021","9.79","9.79","9.79","9.79","2.63K","0.48%"
"03/01/2021","9.74","7.28","9.74","7.28","3.60K","34.92%"
"02/01/2021","7.22","7.23","7.23","7.22","1.43K","0.00%"
"01/01/2021","7.22","7.22","7.22","7.22","5.85K","-5.05%"
"12/01/2020","7.60","7.22","7.60","7.22","1.95K","5.54%"
"11/01/2020","7.20","7.20","7.20","7.20","0.45K","2.22%"
"10/01/2020","7.05","7.44","7.44","7.05","1.39K","-5.26%"
"09/01/2020","7.44","7.44","7.44","7.44","1.14K","0.00%"
"08/01/2020","7.44","7.44","7.44","7.44","3.55K","-12.84%"
"04/01/2020","8.53","8.53","8.53","8.53","3.13K","-6.03%"
"03/01/2020","9.08","9.08","9.08","9.08","0.50K","0.00%"
"02/01/2020","9.08","9.08","9.08","9.08","2.06K","0.00%"
"01/01/2020","9.08","9.08","9.08","9.08","0.89K","0.00%"
"12/01/2019","9.08","9.08","9.08","9.08","0.05K","0.00%"
"11/01/2019","9.08","9.08","9.08","9.08","1.66K","0.00%"
"10/01/2019","9.08","9.08","9.08","9.08","1.58K","0.00%"
"09/01/2019","9.08","8.85","9.08","8.45","1.00K","0.00%"
"08/01/2019","9.08","9.08","9.08","9.08","0.77K","-7.20%"
"07/01/2019","9.79","9.79","9.79","9.79","0.90K","-3.85%"
"06/01/2019","10.18","10.96","10.96","9.90","14.40K","-13.33%"
"04/01/2019","11.74","11.31","11.74","11.31","2.61K","3.81%"
"03/01/2019","11.31","12.44","12.44","10.63","1.94K","-16.67%"
"02/01/2019","13.57","13.97","13.98","13.57","1.35K","-2.91%"
"01/01/2019","13.98","13.97","13.98","13.97","4.26K","0.05%"
"12/01/2018","13.97","13.97","13.97","13.97","0.24K","0.11%"
"11/01/2018","13.96","13.95","13.96","13.95","10.87K","-1.02%"
"10/01/2018","14.10","14.10","14.10","14.10","7.65K","0.00%"
"09/01/2018","14.10","14.29","14.33","14.10","8.38K","-1.32%"
"08/01/2018","14.29","14.29","14.29","14.29","6.50K","0.00%"
"07/01/2018","14.29","14.29","14.33","14.29","7.49K","-9.76%"
"06/01/2018","15.84","15.84","15.84","15.84","0.00K","10.76%"
"04/01/2018","14.30","14.29","14.30","14.29","0.80K","0.11%"
"03/01/2018","14.28","14.28","14.28","14.28","2.98K","0.00%"
"02/01/2018","14.28","14.28","14.28","14.28","4.36K","-10.87%"
"01/01/2018","16.02","13.96","16.02","13.96","1.60K","14.77%"
"12/01/2017","13.96","13.96","13.96","13.96","0.98K","-0.79%"
"11/01/2017","14.07","14.07","14.07","14.07","0.10K","-0.05%"
"10/01/2017","14.08","13.59","14.08","13.59","2.13K","4.99%"
"09/01/2017","13.41","13.93","13.93","13.41","0.47K","0.47%"
"08/01/2017","13.35","13.29","13.36","13.29","4.55K","0.79%"
"07/01/2017","13.24","13.24","13.24","13.24","2.50K","0.00%"
"06/01/2017","13.24","12.19","13.24","12.19","6.63K","0.05%"
"05/01/2017","13.24","13.24","13.24","13.24","11.07K","0.00%"
"04/01/2017","13.24","13.24","13.24","13.24","0.95K","4.88%"
"03/01/2017","12.62","12.62","12.62","12.62","0.26K","0.00%"
"02/01/2017","12.62","12.15","12.62","12.15","6.01K","3.90%"
