"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","15.570","15.000","15.600","15.000","2.24K","-0.19%"
"10/01/2023","15.600","15.520","16.200","15.000","0.07K","-2.62%"
"09/01/2023","16.020","15.550","16.020","15.550","21.00K","3.16%"
"08/01/2023","15.530","15.649","16.236","15.180","69.89K","-2.27%"
"07/01/2023","15.890","14.500","15.890","14.300","55.14K","9.59%"
"06/01/2023","14.500","14.490","14.800","14.070","61.70K","-1.36%"
"05/01/2023","14.700","14.159","14.989","14.159","89.73K","-0.07%"
"04/01/2023","14.710","14.500","15.350","14.500","14.70K","1.45%"
"03/01/2023","14.500","14.300","14.900","13.800","22.72K","0.00%"
"02/01/2023","14.500","15.200","15.200","14.500","31.79K","-3.33%"
"01/01/2023","15.000","15.200","15.500","14.800","53.54K","-1.32%"
"12/01/2022","15.200","15.961","16.646","14.750","37.22K","-3.76%"
"11/01/2022","15.795","14.131","16.235","13.848","127.10K","11.77%"
"10/01/2022","14.131","13.471","14.131","13.000","158.80K","5.63%"
"09/01/2022","13.377","14.451","14.932","13.292","31.69K","-7.49%"
"08/01/2022","14.460","14.979","14.979","14.121","61.07K","-4.06%"
"07/01/2022","15.073","14.828","15.073","14.131","31.73K","1.33%"
"06/01/2022","14.875","13.942","15.073","13.660","29.82K","8.90%"
"05/01/2022","13.660","14.508","14.508","13.085","54.27K","-9.38%"
"04/01/2022","15.073","15.809","15.809","15.073","23.01K","-4.66%"
"03/01/2022","15.809","15.995","16.739","14.879","49.42K","0.00%"
"02/01/2022","15.809","14.991","17.204","14.991","78.04K","5.52%"
"01/01/2022","14.981","13.242","14.981","13.019","48.36K","13.13%"
"12/01/2021","13.242","12.864","13.242","12.773","57.47K","1.65%"
"11/01/2021","13.028","12.681","13.238","12.316","213.31K","5.78%"
"10/01/2021","12.316","10.930","12.773","10.765","82.49K","15.38%"
"09/01/2021","10.674","9.451","10.702","9.361","52.03K","13.48%"
"08/01/2021","9.406","9.361","9.718","9.183","52.30K","0.48%"
"07/01/2021","9.361","10.075","10.075","9.361","92.05K","-7.08%"
"06/01/2021","10.075","10.017","10.888","9.581","117.02K","0.58%"
"05/01/2021","10.017","10.888","11.411","9.581","82.70K","-8.00%"
"04/01/2021","10.888","12.645","13.419","10.060","209.20K","-13.30%"
"03/01/2021","12.559","19.913","19.913","9.144","1.93M","-37.07%"
"02/01/2021","19.956","24.085","24.945","19.939","381.56K","-15.33%"
"01/01/2021","23.569","21.513","25.160","21.504","4.38M","7.45%"
"12/01/2020","21.935","22.465","22.915","19.945","2.92M","-2.36%"
"11/01/2020","22.465","22.075","22.924","22.050","697.71K","1.81%"
"10/01/2020","22.067","22.915","23.764","22.067","520.97K","-7.14%"
"09/01/2020","23.764","23.467","23.764","22.293","2.43M","1.27%"
"08/01/2020","23.467","22.738","23.467","21.874","475.33K","3.21%"
"07/01/2020","22.738","22.830","22.838","21.807","507.95K","0.30%"
"06/01/2020","22.671","22.629","23.048","21.799","609.99K","2.08%"
"05/01/2020","22.210","22.210","23.048","21.623","802.59K","-1.85%"
"04/01/2020","22.629","18.857","22.964","17.851","1.66M","17.39%"
"03/01/2020","19.276","21.791","21.874","18.857","1.10M","-14.81%"
"02/01/2020","22.629","20.114","22.629","19.695","976.75K","12.50%"
"01/01/2020","20.114","21.791","22.210","20.114","2.04M","-6.80%"
"12/01/2019","21.581","19.863","22.637","19.285","5.09M","8.70%"
"11/01/2019","19.854","19.656","19.904","18.456","1.89M","0.80%"
"10/01/2019","19.697","19.035","19.863","16.792","3.20M","3.48%"
"09/01/2019","19.035","12.226","19.035","12.226","2.56M","55.69%"
"08/01/2019","12.226","11.574","12.348","11.533","2.26M","5.63%"
"07/01/2019","11.574","11.411","11.696","11.248","1.54M","3.12%"
"06/01/2019","11.224","9.985","11.224","9.825","2.26M","13.31%"
"05/01/2019","9.905","9.545","9.905","9.465","4.26M","4.64%"
"04/01/2019","9.465","9.608","9.727","9.465","473.22K","0.59%"
"03/01/2019","9.410","9.624","9.964","9.410","1.09M","-2.22%"
"02/01/2019","9.624","8.540","9.624","8.540","1.23M","12.69%"
"01/01/2019","8.540","8.659","8.896","8.422","3.83M","-1.37%"
"12/01/2018","8.659","8.130","8.659","8.060","164.11K","6.51%"
"11/01/2018","8.130","8.765","8.765","8.053","335.43K","-7.24%"
"10/01/2018","8.765","9.152","9.292","8.734","680.69K","-4.47%"
"09/01/2018","9.175","9.134","9.175","8.904","384.45K","0.45%"
"08/01/2018","9.134","9.149","9.149","9.096","168.09K","-1.64%"
"07/01/2018","9.286","9.119","9.286","8.982","463.99K","1.84%"
"06/01/2018","9.119","9.352","9.360","9.058","619.71K","-2.58%"
"05/01/2018","9.360","9.173","9.472","8.986","332.18K","2.04%"
"04/01/2018","9.173","8.749","9.210","8.749","155.06K","4.40%"
"03/01/2018","8.786","8.949","8.949","8.749","140.90K","-1.82%"
"02/01/2018","8.949","8.897","9.120","8.786","240.76K","0.58%"
"01/01/2018","8.897","8.897","9.083","8.786","790.05K","-0.41%"
"12/01/2017","8.934","8.949","9.278","8.387","531.58K","-0.16%"
"11/01/2017","8.949","8.810","9.344","8.803","217.50K","1.66%"
"10/01/2017","8.803","8.766","9.278","8.693","717.92K","0.42%"
"09/01/2017","8.766","8.426","8.766","8.282","1.44M","3.60%"
"08/01/2017","8.462","8.477","8.642","8.282","732.43K","0.43%"
"07/01/2017","8.426","8.304","8.642","8.304","257.25K","1.65%"
"06/01/2017","8.289","8.413","8.519","8.059","399.15K","-1.88%"
"05/01/2017","8.448","8.058","8.590","8.058","602.97K","4.85%"
"04/01/2017","8.058","7.909","8.519","7.909","838.68K","1.88%"
"03/01/2017","7.909","8.226","8.226","7.825","1.30M","-3.76%"
"02/01/2017","8.219","8.943","9.105","8.212","267.20K","-8.10%"
