"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","3.630","3.850","3.850","3.630","57.15K","-8.56%"
"10/01/2023","3.970","3.820","3.970","3.650","28.51K","4.47%"
"09/01/2023","3.800","3.950","4.000","3.800","1.47M","-2.81%"
"08/01/2023","3.910","3.970","4.010","3.800","657.64K","-1.76%"
"07/01/2023","3.980","3.650","3.980","3.650","9.07M","10.56%"
"06/01/2023","3.600","3.460","3.650","3.400","1.36M","1.69%"
"05/01/2023","3.540","3.790","3.800","3.500","3.55M","-6.60%"
"04/01/2023","3.790","3.700","3.990","3.700","571.81K","2.43%"
"03/01/2023","3.700","3.580","3.700","3.400","770.57K","2.78%"
"02/01/2023","3.600","3.650","3.720","3.600","1.97M","-1.91%"
"01/01/2023","3.670","3.600","4.050","3.510","2.33M","3.38%"
"12/01/2022","3.550","3.700","3.740","3.150","2.44M","-3.79%"
"11/01/2022","3.690","3.450","3.800","3.450","1.57M","6.03%"
"10/01/2022","3.480","3.600","3.960","3.480","917.19K","-9.61%"
"09/01/2022","3.850","3.575","4.076","3.448","55.86M","7.39%"
"08/01/2022","3.585","3.850","4.224","3.585","720.04K","-3.95%"
"07/01/2022","3.732","3.514","3.782","3.124","536.02K","3.62%"
"06/01/2022","3.602","4.500","4.510","3.602","5.28M","-22.32%"
"05/01/2022","4.637","5.369","5.369","4.246","1.76M","-16.67%"
"04/01/2022","5.564","6.052","6.150","5.057","6.41M","-7.01%"
"03/01/2022","5.984","5.662","6.248","5.564","17.73M","7.54%"
"02/01/2022","5.564","4.627","5.857","4.481","25.21M","19.50%"
"01/01/2022","4.656","3.905","4.715","3.895","18.63M","20.15%"
"12/01/2021","3.875","3.512","3.954","3.361","17.13M","10.35%"
"11/01/2021","3.512","2.756","3.556","2.712","21.72M","27.42%"
"10/01/2021","2.756","2.356","2.890","2.312","2.10M","16.54%"
"09/01/2021","2.365","2.294","2.401","2.267","1.45M","3.10%"
"08/01/2021","2.294","1.885","2.312","1.778","3.24M","23.45%"
"07/01/2021","1.858","2.312","2.312","1.814","8.23M","-20.23%"
"06/01/2021","2.329","2.453","2.712","2.178","3.86M","-5.96%"
"05/01/2021","2.477","2.216","2.588","2.145","29.51M","11.79%"
"04/01/2021","2.216","2.216","2.319","1.702","12.73M","1.82%"
"03/01/2021","2.176","2.446","2.446","2.018","8.54M","-11.29%"
"02/01/2021","2.453","1.781","2.533","1.765","34.82M","37.78%"
"01/01/2021","1.781","1.504","1.804","1.496","29.42M","21.62%"
"12/01/2020","1.464","1.345","1.472","1.345","843.01K","8.82%"
"11/01/2020","1.345","1.322","1.409","1.298","1.26M","1.80%"
"10/01/2020","1.322","1.345","1.369","1.274","1.97M","-1.76%"
"09/01/2020","1.345","1.385","1.409","1.290","1.63M","0.00%"
"08/01/2020","1.345","1.345","1.456","1.306","16.53M","-2.86%"
"07/01/2020","1.385","1.227","1.401","1.187","10.08M","12.90%"
"06/01/2020","1.227","1.179","1.274","1.179","5.69M","4.03%"
"05/01/2020","1.179","1.053","1.179","1.053","8.42M","14.62%"
"04/01/2020","1.029","1.045","1.045","0.918","13.53M","0.00%"
"03/01/2020","1.029","1.179","1.219","1.021","13.49M","-12.16%"
"02/01/2020","1.171","1.266","1.314","1.171","15.16M","-10.30%"
"01/01/2020","1.306","1.235","1.464","1.219","6.10M","5.77%"
"12/01/2019","1.235","1.171","1.274","1.116","1.36M","7.59%"
"11/01/2019","1.148","1.140","1.211","1.140","7.74M","0.69%"
