"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","7.34","7.25","7.34","7.25","0.23K","0.55%"
"10/01/2023","7.30","6.75","7.30","6.75","3.00K","5.80%"
"09/01/2023","6.90","7.89","7.89","6.90","15.36K","-12.55%"
"08/01/2023","7.89","7.99","8.00","7.80","8.08K","-0.13%"
"07/01/2023","7.90","7.85","8.00","7.71","31.17K","3.54%"
"06/01/2023","7.63","8.55","8.55","7.63","23.43K","-12.50%"
"05/01/2023","8.72","8.47","8.72","7.79","40.62K","-21.44%"
"04/01/2023","11.10","10.20","11.40","10.20","7.96K","9.90%"
"03/01/2023","10.10","7.01","10.10","7.01","34.76K","44.18%"
"02/01/2023","7.01","7.01","7.34","6.93","175.19K","-1.79%"
"01/01/2023","7.13","6.72","7.43","6.72","11.32K","2.86%"
"12/01/2022","6.93","6.26","6.93","6.26","139.93K","10.73%"
"11/01/2022","6.26","6.05","6.47","6.04","87.45K","3.51%"
"10/01/2022","6.05","6.05","6.05","6.05","10.32K","0.00%"
"09/01/2022","6.05","6.05","6.33","5.73","5.26K","-0.58%"
"08/01/2022","6.09","6.16","6.16","6.01","15.56K","-1.15%"
"07/01/2022","6.16","7.08","7.08","6.01","18.20K","-13.00%"
"06/01/2022","7.08","7.08","7.11","6.65","12.56K","-0.50%"
"05/01/2022","7.11","7.08","7.15","7.08","82.93K","0.50%"
"04/01/2022","7.08","7.85","7.85","7.08","21.12K","-9.09%"
"03/01/2022","7.78","8.67","8.77","7.78","68.59K","-9.79%"
"02/01/2022","8.63","7.69","8.63","7.51","84.18K","14.81%"
"01/01/2022","7.51","6.61","7.79","6.61","126.95K","17.39%"
"12/01/2021","6.40","6.26","6.40","6.09","126.76K","3.95%"
"11/01/2021","6.16","6.30","6.30","6.10","284.49K","-3.80%"
"10/01/2021","6.40","5.22","6.40","5.22","53.60K","22.67%"
"09/01/2021","5.22","5.04","5.22","4.87","29.58K","3.45%"
"08/01/2021","5.04","5.21","5.22","5.04","11.53K","-3.33%"
"07/01/2021","5.22","5.50","5.50","5.17","7.66K","-6.25%"
"06/01/2021","5.57","5.84","6.05","5.46","42.98K","-4.76%"
"05/01/2021","5.84","5.57","5.84","5.57","39.76K","5.00%"
"04/01/2021","5.57","6.12","6.12","5.57","20.18K","-13.79%"
"03/01/2021","6.46","6.40","6.51","6.40","63.48K","0.87%"
"02/01/2021","6.40","5.98","6.46","5.98","217.30K","6.98%"
"01/01/2021","5.98","5.76","6.12","5.76","21.85K","4.37%"
"12/01/2020","5.73","5.57","5.73","5.57","99.14K","10.16%"
"11/01/2020","5.20","6.12","6.12","5.20","38.63K","-15.00%"
"10/01/2020","6.12","6.07","6.12","6.07","523.67K","1.85%"
"09/01/2020","6.01","6.23","6.29","6.01","80.30K","-2.70%"
