"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","71.01","73.80","74.80","71.01","0.13K","0.72%"
"10/01/2023","70.50","72.35","75.30","69.80","0.00K","-6.37%"
"09/01/2023","75.30","79.35","81.10","72.18","15.98K","-7.15%"
"08/01/2023","81.10","85.41","86.49","77.62","27.62K","-6.78%"
"07/01/2023","87.00","72.71","87.11","67.99","74.92K","21.68%"
"06/01/2023","71.50","68.92","75.00","67.00","47.81K","8.86%"
"05/01/2023","65.68","76.46","79.00","65.00","41.99K","-13.86%"
"04/01/2023","76.25","76.85","81.65","73.01","39.36K","0.32%"
"03/01/2023","76.01","76.50","78.00","67.00","44.78K","3.27%"
"02/01/2023","73.60","75.50","78.49","70.53","58.05K","-2.86%"
"01/01/2023","75.77","62.00","77.53","61.52","136.18K","23.06%"
"12/01/2022","61.57","61.36","62.01","59.00","270.87K","1.18%"
"11/01/2022","60.85","48.63","60.88","47.00","170.93K","28.51%"
"10/01/2022","47.35","47.94","49.31","45.75","20.80K","4.85%"
"09/01/2022","45.16","44.97","49.42","42.89","25.90K","-5.11%"
"08/01/2022","47.59","47.80","51.30","45.98","24.38K","-0.44%"
"07/01/2022","47.80","49.50","51.59","44.85","14.09K","-3.61%"
"06/01/2022","49.59","62.09","64.90","49.00","56.53K","-19.73%"
"05/01/2022","61.78","61.80","63.23","53.64","55.78K","-3.47%"
"04/01/2022","64.00","77.40","78.18","62.21","72.18K","-16.92%"
"03/01/2022","77.03","70.93","78.25","67.93","42.58K","11.72%"
"02/01/2022","68.95","65.00","69.50","62.12","20.69K","8.07%"
"01/01/2022","63.80","61.27","70.20","61.27","37.77K","3.27%"
"12/01/2021","61.78","58.00","61.78","56.43","8.05K","5.37%"
"11/01/2021","58.63","59.90","62.30","56.45","38.29K","-2.77%"
"10/01/2021","60.30","56.80","66.50","56.15","25.97K","8.06%"
"09/01/2021","55.80","61.55","63.15","55.49","78.02K","-10.65%"
"08/01/2021","62.45","66.85","67.08","60.50","19.12K","-4.58%"
"07/01/2021","65.45","64.00","65.45","60.00","20.06K","1.71%"
"06/01/2021","64.35","70.90","72.10","58.72","50.14K","-7.94%"
"05/01/2021","69.90","69.85","82.58","67.23","62.32K","-0.07%"
"04/01/2021","69.95","71.77","77.39","69.15","58.34K","2.09%"
"03/01/2021","68.52","73.30","79.32","65.50","24.43K","-3.94%"
"02/01/2021","71.33","67.00","83.00","67.00","24.13K","7.42%"
"01/01/2021","66.40","68.18","71.67","66.40","27.03K","0.76%"
"12/01/2020","65.90","60.05","65.90","59.00","27.22K","8.16%"
"11/01/2020","60.93","53.24","60.93","52.90","43.95K","16.61%"
"10/01/2020","52.25","46.00","52.31","45.85","40.46K","17.42%"
"09/01/2020","44.50","48.88","48.88","44.12","21.08K","-7.91%"
"08/01/2020","48.32","44.09","48.41","43.00","38.06K","11.52%"
"07/01/2020","43.33","38.60","45.85","38.60","39.32K","9.70%"
"06/01/2020","39.50","37.02","39.82","36.40","41.61K","7.31%"
