"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","13.100","13.100","13.100","13.100","0.67K","0.00%"
"10/01/2023","13.100","15.200","15.200","13.100","0.40K","-13.82%"
"09/01/2023","15.200","15.000","16.000","15.000","3.05K","-9.52%"
"08/01/2023","16.800","16.730","17.000","16.000","5.32K","0.00%"
"07/01/2023","16.800","16.782","16.800","16.730","2.89K","-2.04%"
"06/01/2023","17.150","17.500","17.500","17.150","4.04K","-2.00%"
"05/01/2023","17.500","17.500","18.250","17.500","6.14K","0.00%"
"04/01/2023","17.500","18.000","18.000","17.500","0.52K","-2.78%"
"03/01/2023","18.000","18.010","18.300","17.500","30.31K","-6.10%"
"02/01/2023","19.170","19.000","19.170","18.000","1.22K","12.37%"
"01/01/2023","17.060","17.060","17.060","17.060","0.70K","-5.22%"
"12/01/2022","18.000","17.000","18.000","16.000","3.39K","5.88%"
"11/01/2022","17.000","18.000","18.500","17.000","5.55K","0.00%"
"10/01/2022","17.000","18.500","18.500","17.000","5.99K","-5.61%"
"09/01/2022","18.010","18.000","18.010","18.000","29.58K","-2.65%"
"08/01/2022","18.500","19.000","19.050","18.500","20.33K","-2.63%"
"07/01/2022","19.000","19.000","19.000","18.500","10.08M","-9.52%"
"06/01/2022","21.000","22.000","22.000","21.000","5.05K","-4.55%"
"05/01/2022","22.000","25.000","25.000","21.000","33.61K","-12.00%"
"04/01/2022","25.000","25.465","25.465","24.805","20.55K","-1.83%"
"03/01/2022","25.465","21.221","25.559","20.749","117.39K","17.39%"
"02/01/2022","21.692","21.410","21.692","21.117","53.97K","2.22%"
"01/01/2022","21.221","21.221","21.692","20.749","32.98K","2.27%"
"12/01/2021","20.749","23.579","23.579","19.438","5.02M","-12.00%"
"11/01/2021","23.579","22.871","23.579","22.871","11.08K","2.04%"
"10/01/2021","23.107","21.457","23.107","21.457","70.26K","6.52%"
"09/01/2021","21.692","21.985","22.023","21.457","12.03K","2.22%"
"08/01/2021","21.221","22.571","22.571","20.278","38.60K","-5.98%"
"07/01/2021","22.571","22.571","23.031","22.110","40.67K","-0.41%"
"06/01/2021","22.663","27.637","27.637","21.649","19.54K","-20.65%"
"05/01/2021","28.559","27.177","29.480","25.334","60.76K","1.97%"
"04/01/2021","28.006","33.856","33.856","27.997","109.32K","-17.28%"
"03/01/2021","33.856","32.244","33.865","32.244","162.77K","5.00%"
"02/01/2021","32.244","27.527","32.244","27.527","66.07K","13.27%"
"01/01/2021","28.466","28.282","28.614","28.282","7.64K","0.32%"
"12/01/2020","28.374","28.503","29.019","27.637","4.43K","-0.65%"
"11/01/2020","28.559","22.571","28.559","22.571","965.61K","29.17%"
"10/01/2020","22.110","21.419","22.110","21.419","13.18K","3.45%"
"09/01/2020","21.373","19.867","21.649","18.675","529.91K","10.81%"
"08/01/2020","19.287","18.437","19.287","17.483","361.91K","4.39%"
"07/01/2020","18.476","19.470","19.470","18.437","9.63K","-5.87%"
"06/01/2020","19.629","18.278","20.423","18.278","521.14K","8.33%"
"05/01/2020","18.119","18.119","18.675","18.119","45.82K","0.00%"
"04/01/2020","18.119","18.278","18.278","18.119","56.77K","-5.00%"
"03/01/2020","19.072","26.741","26.741","19.072","500.04K","-29.41%"
"02/01/2020","27.019","27.258","28.609","27.019","61.71K","0.89%"
"01/01/2020","26.781","25.788","26.781","25.430","25.50K","3.85%"
"12/01/2019","25.788","25.509","25.788","24.635","14.27K","1.41%"
"11/01/2019","25.430","25.907","25.907","24.317","10.84K","-1.84%"
"10/01/2019","25.907","28.211","28.521","25.668","17.48K","-9.44%"
"09/01/2019","28.609","27.806","28.609","27.806","43.61K","2.86%"
"08/01/2019","27.814","26.225","27.814","26.217","79.02K","6.06%"
"07/01/2019","26.225","28.397","29.720","26.225","178.95K","-7.72%"
"06/01/2019","28.418","28.059","28.418","28.059","132.08K","1.28%"
"05/01/2019","28.059","27.996","28.059","27.699","86.54K","0.22%"
"04/01/2019","27.996","27.961","28.031","27.820","34.12K","0.13%"
"03/01/2019","27.961","26.982","27.961","26.982","49.73K","3.79%"
"02/01/2019","26.940","26.059","26.940","26.059","40.26K","3.38%"
"01/01/2019","26.059","22.538","26.059","22.538","96.24K","17.46%"
"12/01/2018","22.186","22.538","22.538","22.186","22.20K","-1.56%"
"11/01/2018","22.538","24.651","24.651","21.834","93.72K","-9.86%"
"10/01/2018","25.003","24.792","25.602","24.792","55.93K","-1.39%"
"09/01/2018","25.355","25.355","25.602","24.651","28.48K","-0.96%"
"08/01/2018","25.602","24.792","25.602","24.792","272.71K","6.47%"
"07/01/2018","24.045","22.684","24.045","22.684","109.18K","6.00%"
"06/01/2018","22.684","23.657","24.499","22.684","439.73K","-2.78%"
"05/01/2018","23.333","22.614","23.657","22.483","773.39K","3.70%"
"04/01/2018","22.501","21.998","22.620","21.998","137.88K","0.28%"
"03/01/2018","22.438","22.626","22.626","21.998","87.61K","0.85%"
"02/01/2018","22.249","22.620","22.626","19.798","37.53K","-1.67%"
"01/01/2018","22.626","21.369","22.783","21.369","103.02K","11.46%"
"12/01/2017","20.301","21.369","21.369","19.798","56.02K","-6.38%"
"11/01/2017","21.684","21.684","21.696","20.112","139.88K","4.39%"
"10/01/2017","20.772","19.883","20.772","19.601","43.59K","6.01%"
"09/01/2017","19.595","19.249","19.883","19.249","68.46K","1.49%"
"08/01/2017","19.307","18.810","19.595","18.805","64.05K","2.67%"
"07/01/2017","18.805","19.127","19.826","18.267","27.31K","-1.41%"
"06/01/2017","19.073","19.879","19.879","17.193","38.58K","-4.05%"
"05/01/2017","19.879","17.741","19.879","17.741","54.11K","12.04%"
"04/01/2017","17.744","18.003","19.062","17.474","134.80K","-1.44%"
"03/01/2017","18.003","20.026","20.026","16.944","533.77K","-10.10%"
"02/01/2017","20.026","18.056","20.545","18.056","186.36K","11.24%"
