"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","1.030","1.000","1.060","0.990","111.40K","4.04%"
"10/01/2023","0.990","1.100","1.110","0.970","22.00K","-12.39%"
"09/01/2023","1.130","1.250","1.260","1.090","277.60K","-8.87%"
"08/01/2023","1.240","1.260","1.270","1.170","696.25K","-1.59%"
"07/01/2023","1.260","1.200","1.300","1.120","486.33K","5.00%"
"06/01/2023","1.200","1.350","1.390","1.200","725.01K","-11.11%"
"05/01/2023","1.350","1.450","1.530","1.290","559.72K","-8.78%"
"04/01/2023","1.480","1.492","1.531","1.473","439.05K","-2.63%"
"03/01/2023","1.520","1.630","1.750","1.500","881.43K","-6.17%"
"02/01/2023","1.620","1.630","1.690","1.600","424.46K","-1.22%"
"01/01/2023","1.640","1.630","1.790","1.630","749.31K","-0.61%"
"12/01/2022","1.650","1.560","1.650","1.500","1.70M","5.77%"
"11/01/2022","1.560","1.543","1.600","1.450","1.05M","1.11%"
"10/01/2022","1.543","1.366","1.552","1.348","839.09K","7.79%"
"09/01/2022","1.431","1.422","1.478","1.320","531.81K","-2.53%"
"08/01/2022","1.469","1.394","1.534","1.385","473.27K","5.33%"
"07/01/2022","1.394","1.245","1.431","1.245","545.93K","11.11%"
"06/01/2022","1.255","1.348","1.366","1.208","886.06K","-6.25%"
"05/01/2022","1.338","1.385","1.394","1.255","647.59K","-3.36%"
"04/01/2022","1.385","1.462","1.547","1.320","2.78M","-4.28%"
"03/01/2022","1.447","1.230","1.470","1.199","2.24M","17.61%"
"02/01/2022","1.230","1.269","1.277","1.161","1.14M","-3.64%"
"01/01/2022","1.277","1.238","1.346","1.192","1.02M","3.13%"
"12/01/2021","1.238","1.209","1.269","1.143","1.23M","2.42%"
"11/01/2021","1.209","1.062","1.245","1.011","3.09M","13.79%"
"10/01/2021","1.062","0.872","1.157","0.850","2.43M","21.85%"
"09/01/2021","0.872","0.813","0.894","0.784","1.57M","7.21%"
"08/01/2021","0.813","0.735","0.813","0.711","1.60M","16.53%"
"07/01/2021","0.698","0.757","0.757","0.683","567.18K","-7.77%"
