"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","1.470","1.450","1.520","1.450","149.27K","-0.68%"
"10/01/2023","1.480","1.590","1.650","1.470","54.45K","-6.33%"
"09/01/2023","1.580","1.670","1.700","1.540","9.14M","-5.39%"
"08/01/2023","1.670","1.649","1.680","1.580","28.43M","1.21%"
"07/01/2023","1.650","1.610","1.670","1.600","3.70M","2.48%"
"06/01/2023","1.610","1.580","1.630","1.520","1.31M","1.90%"
"05/01/2023","1.580","1.531","1.680","1.521","579.91K","1.94%"
"04/01/2023","1.550","1.520","1.700","1.520","2.14M","0.65%"
"03/01/2023","1.540","1.590","1.630","1.540","2.39M","2.67%"
"02/01/2023","1.500","1.760","1.780","1.500","8.39M","-16.67%"
"01/01/2023","1.800","1.810","1.820","1.780","2.16M","0.00%"
"12/01/2022","1.800","1.710","1.800","1.610","9.18M","5.26%"
"11/01/2022","1.710","1.691","1.800","1.671","5.58M","1.74%"
"10/01/2022","1.681","1.681","1.780","1.681","11.85M","1.19%"
"09/01/2022","1.661","1.532","1.671","1.503","32.68M","1.82%"
"08/01/2022","1.631","1.691","1.760","1.582","2.09M","-2.41%"
"07/01/2022","1.672","1.486","1.672","1.476","547.76K","13.25%"
"06/01/2022","1.476","1.545","1.642","1.418","4.44M","-4.43%"
"05/01/2022","1.545","1.919","1.919","1.466","6.48M","-19.53%"
"04/01/2022","1.919","2.111","2.111","1.651","8.72M","-7.83%"
"03/01/2022","2.083","2.275","2.351","2.063","10.09M","-7.26%"
"02/01/2022","2.246","2.305","2.514","2.246","3.74M","-4.92%"
"01/01/2022","2.362","2.248","2.372","2.248","5.57M","5.08%"
"12/01/2021","2.248","1.779","2.341","1.779","53.57M","26.32%"
"11/01/2021","1.779","1.583","1.826","1.545","18.84M","11.11%"
"10/01/2021","1.602","1.339","1.620","1.339","8.87M","17.12%"
"09/01/2021","1.367","1.395","1.395","1.283","6.94M","4.29%"
"08/01/2021","1.311","1.171","1.311","0.937","10.14M","14.75%"
"07/01/2021","1.143","1.217","1.264","1.077","9.66M","-7.53%"
"06/01/2021","1.236","1.356","1.429","1.060","12.91M","-8.84%"
"05/01/2021","1.356","1.399","1.475","1.282","9.54M","-3.10%"
"04/01/2021","1.399","1.573","1.600","1.125","9.46M","-11.05%"
"03/01/2021","1.573","1.671","1.691","1.509","3.96M","-5.86%"
"02/01/2021","1.671","1.589","1.734","1.543","11.90M","5.14%"
"01/01/2021","1.589","1.389","1.652","1.389","16.46M","14.38%"
"12/01/2020","1.389","1.344","1.425","1.335","6.79M","3.38%"
"11/01/2020","1.344","1.180","1.398","1.171","8.40M","13.85%"
"10/01/2020","1.180","1.316","1.316","1.180","4.14M","-5.11%"
"09/01/2020","1.244","1.326","1.362","1.244","2.62M","-5.52%"
"08/01/2020","1.316","1.407","1.407","1.280","4.10M","-6.45%"
"07/01/2020","1.407","1.453","1.489","1.326","4.88M","-3.13%"
"06/01/2020","1.453","1.271","1.543","1.253","19.04M","14.29%"
"05/01/2020","1.271","1.044","1.271","1.044","38.76M","21.74%"
"04/01/2020","1.044","1.226","1.271","1.026","4.37M","-14.81%"
"03/01/2020","1.226","1.779","1.789","1.189","7.43M","-31.47%"
"02/01/2020","1.789","1.804","1.816","1.696","9.23M","4.37%"
"01/01/2020","1.714","1.804","1.822","1.696","10.68M","-5.00%"
"12/01/2019","1.804","1.795","1.813","1.741","2.13M","0.00%"
"11/01/2019","1.804","1.909","1.927","1.741","7.57M","-5.50%"
"10/01/2019","1.909","1.891","1.972","1.792","33.58M","0.00%"
"09/01/2019","1.909","2.079","2.106","1.792","1.38M","-8.19%"
"08/01/2019","2.079","2.094","2.106","1.996","24.20M","-1.13%"
"07/01/2019","2.103","2.174","2.174","2.103","25.97M","-3.28%"
"06/01/2019","2.174","2.210","2.272","2.138","21.39M","-0.41%"
"05/01/2019","2.183","2.216","2.393","2.138","5.14M","-1.48%"
"04/01/2019","2.216","2.411","2.437","2.171","3.45M","-8.42%"
"03/01/2019","2.420","2.349","2.570","2.349","5.71M","3.02%"
"02/01/2019","2.349","2.373","2.426","2.304","1.68M","2.42%"
"01/01/2019","2.293","2.276","2.293","2.161","2.33M","0.00%"
"12/01/2018","2.293","2.205","2.443","2.205","7.28M","8.33%"
"11/01/2018","2.117","1.850","2.161","1.841","2.28M","14.44%"
"10/01/2018","1.850","1.973","2.104","1.841","1.55M","-8.26%"
"09/01/2018","2.016","2.192","2.200","1.999","1.55M","-8.00%"
"08/01/2018","2.192","2.434","2.434","2.148","6.18M","-11.87%"
"07/01/2018","2.487","2.487","2.574","2.400","1.58M","0.00%"
"06/01/2018","2.487","2.548","2.548","2.417","2.49M","-2.40%"
"05/01/2018","2.548","2.537","2.606","2.487","1.96M","0.44%"
"04/01/2018","2.537","2.563","2.563","2.432","3.00M","-1.02%"
"03/01/2018","2.563","2.563","2.693","2.432","1.34M","-1.34%"
"02/01/2018","2.598","2.604","2.624","2.476","1.34M","-1.54%"
"01/01/2018","2.638","2.595","2.638","2.491","20.64M","1.67%"
"12/01/2017","2.595","2.595","2.595","2.249","8.69M","0.00%"
"11/01/2017","2.595","2.549","2.610","2.498","7.73M","1.79%"
"10/01/2017","2.549","2.498","2.627","2.394","5.21M","3.86%"
"09/01/2017","2.455","2.170","2.455","2.162","14.76M","13.55%"
"08/01/2017","2.162","2.142","2.185","2.084","3.72M","-1.06%"
"07/01/2017","2.185","2.022","2.185","2.013","4.02M","8.05%"
"06/01/2017","2.022","2.116","2.116","1.971","9.45M","-5.60%"
"05/01/2017","2.142","2.063","2.216","1.986","5.18M","6.95%"
"04/01/2017","2.003","2.216","2.242","2.003","5.12M","-9.62%"
"03/01/2017","2.216","2.003","2.216","1.764","19.76M","12.55%"
"02/01/2017","1.969","2.052","2.137","1.969","3.20M","-4.05%"
